variable,description,source,name_puf,grow_with
id,record ID,puf,RECID,NA
weight,record weight,imputed,NA,NA
filer,whether tax unit filed tax return,imputed,NA,NA
dep_status,whether filer is a dependent,puf,DSI,NA
filing_status,filing status,puf,MARS,NA
male1,whether primary filer is male	imputed,NA,NA
male2,whether secondary filer is male	imputed,NA,NA
age1,age of primary filer,imputed,NA,NA
age2,age of secondary filer,imputed,NA,NA
blind1,whether primary filer is blind,imputed,NA,NA
blind2,whether secondary filer is blind,imputed,NA,NA
parent_rank,parent's rank in the income distribution as a child,imputed,NA,NA
n_dep,number of dependents,derived,NA,NA
dep_age1,age of youngest dependent,imputed,NA,NA
dep_age2,age of second youngest dependent,imputed,NA,NA
dep_age3,age of oldest dependent,imputed,NA,NA
dep_ssn1,whether youngest dependent has a SNN,imputed,NA,NA
dep_ssn2,whether second youngest dependent has a SNNi,mputed,NA,NA
dep_ssn3,whether oldest dependent has a SNN,imputed,NA,NA
n_dep_ctc,number of CTC-qualifying children under 2015 rules,puf,N24,NA
dep_ctc1,whether youngest dependent qualifies for CTC,imputed,NA,NA
dep_ctc2,whether second youngest dependent qualifies for CTC,imputed,NA,NA
dep_ctc3,whether oldest dependent qualifies for CTC,imputed,NA,NA
n_dep_eitc,number of EITC-qualifying children under 2015 rules,puf,EIC,NA
wages,W2 wages for tax unit,puf,E00200,wages
wages1,primary filer's share of wages,imputed,NA,wages
wages2,secondary filer's share of wages,imputed,NA,wages
ot,FLSA-eligible OT wages for tax unit,imputed,NA,wages
ot1,FLSA-eligible OT wages for primary earner,imputed,NA,wages
ot2,FLSA-eligible OT wages for secondary earner,imputed,NA,wages
tips,tipped wage income for tax unit,imputed,NA,wages
tips1,tipped wage income for primary earner,imputed,NA,wages
tips2,tipped wage income for secondary earner,imputed,NA,wages
tips_lh1,whether tips for primary earner are derived from leisure and hospitality industry,imputed,NA,NA
tips_lh2,whether tips for secondary earner are derived from leisure and hospitality industry,imputed,NA,NA
ei_prior_yr,W2 wages and SE income in prior year for tax unit,puf,NA,wages
trad_contr_er1,primary filer's contributions to pretax savings accounts,imputed,NA,wages
trad_contr_er2,secondary filer's contributions to pretax savings accounts,imputed,NA,wages
txbl_int,taxable interest income,puf,E00300,int
exempt_int,tax-exempt interest income,puf,E00400,int
div_ord,non-preferred dividend income,derived,NA,div
div_pref,preferred-rate dividend income,puf,E00650,div
state_ref,state income tax refunds,puf,E00700,income
alimony,alimony received,puf,E00800,wages
divorce_year,year of divorce if divorced,imputed,NA,NA
sole_prop,Schedule C net income,puf,E00900,pt
sole_prop1,primary filer's share of Schedule C net income,imputed split,NA,pt
sole_prop2,secondary filer's share of Schedule C net income,imputed split,NA,pt
wagebill_sole_prop,owner's share of W2 wages paid in sole proprietorship,imputed,NA,wages
sstb_sole_prop,whether filer's sole prop income comes from a SSTB,imputed,NA,NA
kg_st,short-term net capital gain carryover,puf,P22250,kg
kg_lt,long-term net capital gain,puf,P23250,kg
kg_1250,unrecaptured Section 1250 gain,puf,E24515,kg
kg_collect,28% collectibles gain,puf,E24518,kg
other_gains,other capital gains reported on Form 1040,puf,E01200,kg
txbl_ira_dist,taxable IRA distributions,puf,E01400,pensions
gross_pens_dist,total pensions and annuities received,puf,E01500,pensions
txbl_pens_dist,taxable pensions and annueities received,puf,E01700,pensions
part_active,nonpassive partnership net income,puf,E25980,pt
part_active_loss,nonpassive partnership net loss,puf,E25960,pt
part_passive,passive partnership net income,puf,E25940,pt
part_passive_loss,passive partnership net loss,puf,E25920,pt
