"group","baseline","tcja_ext","obbba","tcja_change","obbba_change"
"Overall",14.2976070819013,13.137106235877,13.4455128530046,-1.16050084602427,0.308406617127567
"Quintile 1",5.51883890693463,5.4746768243388,5.19553739284741,-0.0441620825958324,-0.279139431491386
"Quintile 2",11.3247074693313,11.6700478631939,11.6156341703901,0.345340393862672,-0.0544136928037755
"Quintile 3",13.4887618343321,12.4258740431095,12.5241900034506,-1.0628877912226,0.0983159603410684
"Quintile 4",16.5166807957973,14.6614867711281,15.0750884373364,-1.85519402466917,0.413601666208283
"Quintile 5",24.1771471201383,20.9821309984561,22.3425477306224,-3.19501612168221,1.36041673216625
"Top 10%",26.7515693117236,23.3345203701557,25.1452783234472,-3.4170489415679,1.8107579532915
"Top 5%",28.7867050290331,25.5034024970732,27.3095561287852,-3.28330253195991,1.80615363171198
"Top 1%",31.1522985139602,29.7661172487196,29.8705733758194,-1.38618126524068,0.104456127099873
"Top 0.1%",33.7062613207989,33.9015921087155,33.557359912101,0.195330787916575,-0.344232196614477
