year,hh_equity_exposure,markdown_hit,db_slice,est_base,est_base_delta,est_tax_delta,wealth_tax_delta
2026,62834.384208140444,5567.603664012447,268.32285898667106,675.0425499419526,18.800943459636834,1.9566561109976168,23.262759511933886
2027,65824.80641076337,5832.5777832322,281.6059479905798,714.9998370136201,19.911822302752032,2.18154573048288,24.367251668025304
2028,68740.9573106579,6090.970900944374,294.4784356346811,754.4464922179448,20.982648696586736,2.3004461520330435,25.48723843385648
2029,71625.14560648301,6346.5318891820425,306.83659702773883,791.8984889437842,22.08376937648928,2.4493964575141374,26.63469884186854
2030,74553.25513587221,6605.984632292478,319.5599901495131,835.1393474187261,23.281958393641542,2.5751792514439513,27.869383781732648
2031,77589.76649332549,6875.042600674414,333.02885628815216,879.9584630555194,24.52054772199248,2.70921415167049,29.10561851536712
2032,80683.79457187245,7149.196987381107,346.1088743729857,927.7964548321847,25.839764761921813,2.83866139773541,30.496516249304147
2033,83857.50531241203,7430.41186312512,359.59728080101,975.4774249964993,27.157383051253458,2.9728395734547775,31.82002602100169
2034,87092.66640055868,7717.071706378621,373.4917076522514,1026.4085703494986,28.572937764637405,3.20500506434116,33.166611161625674
2035,90492.30641022805,8018.3056312860335,387.69722633708045,1079.9689088064836,30.044193692046854,3.355985324616278,34.78368240835853
2036,94118.00346326214,8339.569927124498,403.5594472165816,1134.5589786307764,31.569767386791096,3.5154673739422555,36.13486482508632
2037,97875.57769224115,8672.519542350485,420.35455759973905,1185.3940716801992,32.910113794304806,3.642338422807806,38.51380764742074
2038,101722.57334796958,9013.39257513655,436.586340305695,1239.7321517280998,34.37526743334003,3.797442781496785,40.16089139464054
2039,105754.83465531074,9370.6815517364,454.8591412880766,1291.7700283493652,35.810014686430236,3.8563723354581514,43.47027447231699
2040,109890.79056917809,9737.158658028444,472.50951935081486,1341.924587636641,37.16280132558465,4.134151468240018,45.32195136949317
2041,114179.29501160799,10117.152722547547,491.8334976550789,1399.2560125895266,38.726862979583004,4.2549319893314035,47.61123641058902
2042,118652.10931459386,10513.478040533639,510.82146040853905,1443.909281409686,40.00242444613056,4.394045352486931,49.789192852663625
2043,123294.69353608442,10924.84626269103,530.950446649526,1493.757931618156,41.48774442414651,4.554255600974998,51.90849121694049
2044,127993.96205566892,11341.237144173201,552.1024793787703,1548.6316210861028,42.97091103258686,4.6948548548994875,54.08491377309207
2045,132894.95844591182,11775.502647106116,573.5197854590066,1604.1879420513037,44.49712583811347,4.860416387520805,56.86137261177422
2046,137895.0241458082,12218.546443299465,596.0804014673631,1656.4150080688908,45.870991572190135,5.045364631800605,60.782291178930464
2047,143040.19033551787,12674.44724491931,618.1723115979167,1713.439813154852,47.42215131676088,5.218833717409113,63.22474070297929
2048,148491.207951282,13157.448805809805,641.9680095244372,1756.7579516755827,48.64376961050722,5.3850746525883215,65.80968441408415
2049,153907.2321896964,13637.349687694625,666.7770391448232,1801.0944531292405,49.808338102257814,5.620648473728828,68.66623595116282
2050,159792.5782194675,14158.836044762951,692.5919094737811,1827.5269514856589,49.13426824084752,5.789322746890304,71.89491292992254
2051,165781.81811770957,14689.528187645159,720.5634191794193,1884.3171983041773,50.59157124827172,6.012251403023731,75.13724776148419
2052,172062.6479351963,15246.057411979426,747.4884060591354,1941.343232589746,52.04817549151331,6.223394038677586,78.52574683758553
2053,178524.17443478058,15818.5977347274,776.4406104502776,1964.056063866985,51.58619079299814,6.421501441858361,84.18322380660595
2054,185192.669464134,16409.477041125807,806.443231938308,2000.0368560311363,51.379049812743936,6.613797587251496,87.75923420688605
2055,192175.939827698,17028.247832834008,836.2044742064405,2054.712008351095,52.61560420900841,6.781879481194685,91.76696889939322
