scenario,target_type,year,value,source,units,scope
baseline,baseline_receipts,2026,36,CBO,billions,estate_gift
baseline,baseline_receipts,2027,35,CBO,billions,estate_gift
baseline,baseline_receipts,2028,36,CBO,billions,estate_gift
baseline,baseline_receipts,2029,36,CBO,billions,estate_gift
baseline,baseline_receipts,2030,36,CBO,billions,estate_gift
baseline,baseline_receipts,2031,37,CBO,billions,estate_gift
baseline,baseline_receipts,2032,39,CBO,billions,estate_gift
baseline,baseline_receipts,2033,41,CBO,billions,estate_gift
baseline,baseline_receipts,2034,44,CBO,billions,estate_gift
baseline,baseline_receipts,2035,47,CBO,billions,estate_gift
obbba_vs_sunset,policy_delta,2026,3672,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2027,-20276,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2028,-22353,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2029,-23323,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2030,-24710,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2031,-26337,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2032,-28093,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2033,-30275,JCT,millions,estate_gift
obbba_vs_sunset,policy_delta,2034,-32636,JCT,millions,estate_gift
