agi_grp,returns_benefiting_static,cost_static_iit,cost_conv_iit,cost_conv_total,behavioral_iit
<0,186.803705540051,451285.355284121,483464.839678002,483464.839678002,32179.4843938815
0-20k,169715.077366273,16288428.4628258,16603172.1106561,16603172.1106561,314743.647830306
20-40k,923671.320635816,230104049.941575,242335486.840408,242335486.840408,12231436.898833
40-60k,2310444.86769856,1053557834.25742,1110426038.61003,1110426038.61003,56868204.3526074
60-80k,2304829.01725841,1976981282.20072,2127640858.00996,2127640858.00996,150659575.809239
80-100k,1473430.92090315,1645663655.15117,1753677205.14675,1753677205.14675,108013549.995577
100-120k,1271055.67593428,1504017540.72663,1587349905.17194,1587349905.17194,83332364.4453127
120-140k,907547.294970684,1104177188.74869,1171055917.22053,1171055917.22053,66878728.4718392
140-160k,404985.469386085,796289407.366751,855365515.06878,855365515.06878,59076107.7020293
160-180k,682628.504577337,1375385951.08982,1464775901.25077,1464775901.25077,89389950.1609428
180-200k,572677.014865601,1326213172.70549,1421772852.10574,1421772852.10574,95559679.4002461
200k+,1384549.17935358,3789996065.04984,4046867635.75824,4046867635.75824,256871570.708402
TOTAL,12405721.1466553,14819125861.0562,15798353952.1335,15798353952.1335,979228091.077253
