model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
taxsim,AK,2017,20513,1,1,1,0,0,0,0,0,13458,1,1
taxsim,AK,2018,20515,1,1,1,0,0,0,0,0,13504,1,1
taxsim,AK,2019,20514,1,1,1,0,0,0,0,0,13433,1,1
taxsim,AK,2020,20513,1,1,1,0,0,0,0,0,13070,1,1
policyengine,AK,2021,1536,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2022,1530,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2023,1533,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2024,1531,1,1,1,0,0,0,0,0,1,1,1
taxsim,AZ,2017,20513,0.15741237264173938,0.4560035099692878,0.00575244966606542,6127.01530055848,141.20496626978638,5771.960709764421,130006.0155154127,5422.962297081357,13458,0.21281022440184277,0.5358151285480754
taxsim,AZ,2018,20515,0.2161832805264441,0.5801608579088472,0.00370460638557153,1430.79407509028,77.57761355885305,950.7763309665288,30400.32131914406,875.7579186936781,13504,0.28547097156398105,0.6709123222748815
taxsim,AZ,2019,20514,0.29501803646290337,0.684508140781905,0.00921322023983621,1666.627634339684,50,988.2156640763336,33613.57094910081,613.2253579826129,13433,0.3881485892950197,0.795056949303953
taxsim,AZ,2020,20513,0.28274752595914787,0.6624579534929069,0.00931116852727538,1912.4926338071136,50,1060.7003979574772,34967.251126314055,612.5132404582907,13070,0.38117827084927314,0.7877582249426167
policyengine,AZ,2021,1536,0.07877604166666667,0.287109375,0.00130208333333333,819309.042554182,597.749949495744,1623030.8959568772,14299205.56178964,816225.5278657309,270,0.22592592592592592,0.6925925925925925
policyengine,AZ,2022,1530,0.1562091503267974,0.3986928104575164,0.01241830065359477,69995.09130263484,179.45874862068092,62262.668476052735,1596668.5046152784,65045.26906612232,316,0.43037974683544306,0.8829113924050633
policyengine,AZ,2023,1533,0.1578604044357469,0.4142204827136334,0.01956947162426614,51599.78781222602,159.72727062136985,61539.73911951909,960394.9237014255,46313.03566008765,357,0.4565826330532213,0.8683473389355743
policyengine,AZ,2024,1531,0.1737426518615284,0.4114957544088831,0.01567602873938602,54996.10223305534,181.7980912015555,64705.04,1044115.5092027384,47377.55116746625,363,0.4738292011019284,0.8787878787878788
taxsim,CA,2017,20513,0.4515672987861356,0.5164529810364159,0.1860283722517428,16672.08175647596,71.85650898698077,10845.574223320962,425502.8573489809,14105.546976878695,13458,0.542651211175509,0.6002377767870412
taxsim,CA,2018,20515,0.538581525712893,0.6092615159639289,0.1746039483304899,10837.16108095534,3.6592669213714544,4888.406652537951,263977.53268070944,-9871.916907042778,13504,0.6679502369668247,0.7163803317535545
taxsim,CA,2019,20514,0.5334405771668129,0.597543141269377,0.15759968801793897,11508.16917510475,3.0500000000000114,5047.885039813491,258789.02004623908,-10394.41663081014,13433,0.6733417702672523,0.7176356733417703
taxsim,CA,2020,20513,0.5237654170526008,0.5893823429044995,0.15395115292741188,12978.10935675368,6.927322618019389,5975.054799590045,298852.3917079439,-11353.481206222246,13070,0.6766641162968631,0.718592195868401
policyengine,CA,2021,1536,0.294921875,0.3990885416666667,0.13020833333333334,58171.64245252696,313.6969942729462,15156.979571215314,1464686.6410883518,-20774.896681541497,271,0.8302583025830258,0.9077490774907748
policyengine,CA,2022,1530,0.3202614379084967,0.39477124183006534,0.12810457516339868,50090.03150315951,332.3340298020064,16208.348512799932,1267691.933661769,5728.29740207667,317,0.7728706624605678,0.8643533123028391
policyengine,CA,2023,1533,0.324853228962818,0.40117416829745595,0.1363339856490541,96399.35714912567,316.3699999999999,17975.358326297668,2022775.1812330668,38751.847439830424,359,0.807799442896936,0.8607242339832869
policyengine,CA,2024,1531,0.3200522534291313,0.3964728935336381,0.1378184193337688,76317.41443179201,372.1662586698467,18544.900723740546,1698542.900315615,-4735.038773891497,364,0.7692307692307693,0.8434065934065934
taxsim,CO,2017,20513,0.3682542777750694,0.4710671281626286,0.11948520450446058,6900.483474810275,138.89615446380088,4772.791728501526,183391.81753634513,5846.27532498924,13458,0.4954673799970278,0.5646455639768168
taxsim,CO,2018,20515,0.3859614915915184,0.49924445527662686,0.12181330733609554,6123.140222197746,100.99556960165457,6003.566035050471,140005.19164194787,-5868.300793648142,13504,0.5183649289099526,0.6044875592417062
taxsim,CO,2019,20514,0.3843229014331676,0.4981476065126255,0.12118553183191969,6091.2603312516385,102.46931343169724,5659.470931276718,140104.23833022654,-5747.034878429526,13433,0.5190203230849401,0.6053748231966054
