measure,concept,ty2014,ty2015,ty2016
total_population,count_millions,49.68,50.16,51.63
wages,count_millions,15.08,15.77,17.04
interest,count_millions,6.96,6.72,6.79
dividends,count_millions,4.58,4.45,4.35
capital_gains,count_millions,2.14,2.15,1.90
pensions,count_millions,6.75,6.87,7.06
social_security,count_millions,23.79,24.02,24.34
unemployment_compensation,count_millions,1.06,0.87,0.85
net_business_farm,count_millions,4.99,5.14,5.43
positive_net_business_farm,count_millions,4.60,4.73,4.99
negative_net_business_farm,count_millions,0.41,0.42,0.44
schedule_e,count_millions,0.65,0.65,0.65
other_income,count_millions,2.29,2.06,1.92
total_income,amount_billions,657.0,701.1,738.8
wages,amount_billions,215.3,242.5,269.8
interest,amount_billions,1.5,1.5,1.5
dividends,amount_billions,2.9,2.8,2.7
capital_gains,amount_billions,2.1,1.9,1.2
pensions,amount_billions,51.2,54.6,56.9
social_security,amount_billions,266.6,275.3,282.0
unemployment_compensation,amount_billions,3.6,3.4,3.5
net_business_farm,amount_billions,87.5,93.2,98.8
positive_net_business_farm,amount_billions,90.0,95.8,101.5
negative_net_business_farm,amount_billions,-2.5,-2.6,-2.7
schedule_e,amount_billions,4.2,4.4,4.1
other_income,amount_billions,22.1,21.5,18.3
