soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,13277882763438.2,154.46050359,14675623299000,0.904757671474368,
,TAXINC,10301697173193,130.40649046,,,
,INCTOT,14210036316026,238.95927876,,,
wages_amt,INCWAGE,10747801504580.6,161.81828097,9631750313000,1.1158721058284,1.01063696788571
int_amt,INCINT,343528876058.4,147.93782069,130941248000,2.62353445767066,
div_amt,INCDIVID,179983275531.84,36.58911581,400466355000,0.44943419911478,
,INCRENT,208848688529.34,11.5273469,,,
,INCBUS,488844755142.54,12.05932294,,,
,INCFARM,42911220562.54,1.72079317,,,
,INCSS,1044382608148.28,56.33005091,,,
,INCRETIR,221475459899.18,11.1213125,,,
eitc_amt,EITCRED,35866344133.67,16.35601376,59178091000,0.606074706493489,
,FEDTAX,1701383169102.03,121.62935959,,,
