state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,filing_adults,residual_nonfiling_adults,residual_share_of_adults
AK,556127,260420,214460,176510,474880,81247,0.146094327374862
AL,3842153,1559140,1258900,1288960,2818040,1024113,0.266546647153302
AR,2285453,1001650,719550,781620,1721200,564253,0.246888909988523
AZ,5260034,2253170,1875910,1888560,4129080,1130954,0.21500887636848
CA,30451306,12953240,11486900,11570070,24440140,6011166,0.197402567889863
CO,4326404,2099030,1638140,1374610,3737170,589234,0.136194862985519
CT,2852640,1277320,1109280,810470,2386600,466040,0.163371473442145
DC,566492,127650,279140,134130,406790,159702,0.281913954654258
DE,756172,336820,290010,233430,626830,129342,0.171048385816983
FL,16698095,6992740,6564160,5107430,13556900,3141195,0.188116967833756
GA,7922370,3217180,2878620,2984030,6095800,1826570,0.230558532358373
HI,1150930,515760,426440,335710,942200,208730,0.181357684655018
IA,2420468,1231470,831410,752210,2062880,357588,0.147735066111182
ID,1283015,702910,408490,483690,1111400,171615,0.133759153244506
IL,10008120,4403720,3873300,3401740,8277020,1731100,0.172969548726434
IN,5093908,2436190,1886350,1701720,4322540,771368,0.151429511487055
KS,2207316,1114860,762740,741590,1877600,329716,0.149374172071421
KY,3450919,1548350,1124710,1072710,2673060,777859,0.225406333791086
LA,3568027,1319170,1295330,1294420,2614500,953527,0.26724209205816
MA,5569193,2423140,2211830,1437750,4634970,934223,0.167748361387368
MD,4748830,2040770,1918970,1589250,3959740,789090,0.166165139623865
ME,1089409,522940,392510,256220,915450,173959,0.15968199271348
MI,7845511,3600250,2922420,2318740,6522670,1322841,0.16861119689973
MN,4294563,2189200,1657490,1342200,3846690,447873,0.104288375790505
MO,4724824,2196240,1685040,1453480,3881280,843544,0.178534480861086
MS,2276826,826080,809970,861220,1636050,640776,0.281433890863861
MT,825358,414130,294660,224530,708790,116568,0.141233258779826
NC,7885482,3505230,2773630,2637640,6278860,1606622,0.203744298699813
ND,588969,291770,214300,173360,506070,82899,0.14075273910851
NE,1451128,747410,524920,501520,1272330,178798,0.123213114211841
NH,1096377,559530,419970,262790,979500,116877,0.10660292946678
NJ,7161517,3243770,2770460,2321960,6014230,1147287,0.160201672355173
NM,1608707,634200,599720,550670,1233920,374787,0.232974059291095
NV,2276830,936900,937390,855230,1874290,402540,0.176798443449884
NY,15990731,6174990,6499940,4794420,12674930,3315801,0.207357687400282
OH,9114358,4126550,3381950,2746200,7508500,1605858,0.176189919246095
OK,2964897,1357000,933660,1029360,2290660,674237,0.227406550716602
OR,3270859,1531390,1155300,952800,2686690,584169,0.178598038007753
PA,10262004,4679940,3833150,2830290,8513090,1748914,0.170426166273176
RI,872731,352200,354720,221560,706920,165811,0.189990959413611
SC,3868196,1675570,1369370,1263400,3044940,823256,0.212826857791074
SD,654631,346530,242510,207190,589040,65591,0.100195377243058
TN,5222454,2337070,1833530,1701350,4170600,1051854,0.201409911891996
TX,20933570,9414070,7718330,8526560,17132400,3801170,0.181582501216945
UT,2185310,1221390,703620,1005250,1925010,260300,0.11911353537942
VA,6616004,3117330,2350190,2103460,5467520,1148484,0.173591793475336
VT,518281,248580,201060,117400,449640,68641,0.132439738288689
WA,5784443,2869290,2108840,1897350,4978130,806313,0.139393369422086
WI,4537923,2262600,1722200,1317140,3984800,553123,0.121889022797434
WV,1450586,651230,433520,396460,1084750,365836,0.252198766567442
WY,438255,232110,152780,141130,384890,53365,0.121767007792267
