state,ssa_age_band,hi_persons_total,universe
AK,Under 20,29070,covered_worker_hi
AK,20–29,93331,covered_worker_hi
AK,30–39,100573,covered_worker_hi
AK,40–49,79969,covered_worker_hi
AK,50–59,68953,covered_worker_hi
AK,60–61,13158,covered_worker_hi
AK,62–64,15096,covered_worker_hi
AK,65–69,18768,covered_worker_hi
AK,70 or older,11934,covered_worker_hi
AL,Under 20,162182,covered_worker_hi
AL,20–29,563250,covered_worker_hi
AL,30–39,541320,covered_worker_hi
AL,40–49,490625,covered_worker_hi
AL,50–59,455027,covered_worker_hi
AL,60–61,83641,covered_worker_hi
AL,62–64,102817,covered_worker_hi
AL,65–69,103633,covered_worker_hi
AL,70 or older,87721,covered_worker_hi
AR,Under 20,105367,covered_worker_hi
AR,20–29,349150,covered_worker_hi
AR,30–39,329668,covered_worker_hi
AR,40–49,299781,covered_worker_hi
AR,50–59,268059,covered_worker_hi
AR,60–61,46717,covered_worker_hi
AR,62–64,58753,covered_worker_hi
AR,65–69,62935,covered_worker_hi
AR,70 or older,53959,covered_worker_hi
AZ,Under 20,241131,covered_worker_hi
AZ,20–29,903832,covered_worker_hi
AZ,30–39,814887,covered_worker_hi
AZ,40–49,683204,covered_worker_hi
AZ,50–59,669535,covered_worker_hi
AZ,60–61,125869,covered_worker_hi
AZ,62–64,148514,covered_worker_hi
AZ,65–69,154430,covered_worker_hi
AZ,70 or older,130663,covered_worker_hi
CA,Under 20,972887,covered_worker_hi
CA,20–29,4607493,covered_worker_hi
CA,30–39,4774979,covered_worker_hi
CA,40–49,3869209,covered_worker_hi
CA,50–59,3658780,covered_worker_hi
CA,60–61,653317,covered_worker_hi
CA,62–64,842835,covered_worker_hi
CA,65–69,866398,covered_worker_hi
CA,70 or older,663415,covered_worker_hi
CO,Under 20,227258,covered_worker_hi
CO,20–29,744404,covered_worker_hi
CO,30–39,808461,covered_worker_hi
CO,40–49,632305,covered_worker_hi
CO,50–59,559272,covered_worker_hi
CO,60–61,102511,covered_worker_hi
CO,62–64,128215,covered_worker_hi
CO,65–69,136682,covered_worker_hi
CO,70 or older,105163,covered_worker_hi
CT,Under 20,114751,covered_worker_hi
CT,20–29,381484,covered_worker_hi
CT,30–39,420857,covered_worker_hi
CT,40–49,351598,covered_worker_hi
CT,50–59,408514,covered_worker_hi
CT,60–61,80377,covered_worker_hi
CT,62–64,105367,covered_worker_hi
CT,65–69,111997,covered_worker_hi
CT,70 or older,84763,covered_worker_hi
DC,Under 20,17646,covered_worker_hi
DC,20–29,112609,covered_worker_hi
DC,30–39,123931,covered_worker_hi
DC,40–49,74665,covered_worker_hi
DC,50–59,49165,covered_worker_hi
DC,60–61,9486,covered_worker_hi
DC,62–64,11220,covered_worker_hi
DC,65–69,13872,covered_worker_hi
DC,70 or older,10812,covered_worker_hi
DE,Under 20,36924,covered_worker_hi
DE,20–29,109855,covered_worker_hi
DE,30–39,110569,covered_worker_hi
DE,40–49,103327,covered_worker_hi
DE,50–59,103225,covered_worker_hi
DE,60–61,18870,covered_worker_hi
DE,62–64,26826,covered_worker_hi
DE,65–69,29988,covered_worker_hi
DE,70 or older,20094,covered_worker_hi
FL,Under 20,613231,covered_worker_hi
FL,20–29,2342354,covered_worker_hi
FL,30–39,2514226,covered_worker_hi
FL,40–49,2247085,covered_worker_hi
FL,50–59,2280439,covered_worker_hi
FL,60–61,426161,covered_worker_hi
FL,62–64,538872,covered_worker_hi
FL,65–69,543156,covered_worker_hi
FL,70 or older,447173,covered_worker_hi
GA,Under 20,384850,covered_worker_hi
GA,20–29,1272566,covered_worker_hi
GA,30–39,1277462,covered_worker_hi
GA,40–49,1144453,covered_worker_hi
GA,50–59,1069788,covered_worker_hi
GA,60–61,180950,covered_worker_hi
GA,62–64,218384,covered_worker_hi
GA,65–69,219098,covered_worker_hi
GA,70 or older,165140,covered_worker_hi
HI,Under 20,32742,covered_worker_hi
HI,20–29,145556,covered_worker_hi
HI,30–39,161264,covered_worker_hi
HI,40–49,152288,covered_worker_hi
HI,50–59,143312,covered_worker_hi
HI,60–61,27336,covered_worker_hi
HI,62–64,32232,covered_worker_hi
HI,65–69,38862,covered_worker_hi
HI,70 or older,36924,covered_worker_hi
IA,Under 20,147188,covered_worker_hi
IA,20–29,371182,covered_worker_hi
IA,30–39,372916,covered_worker_hi
IA,40–49,339868,covered_worker_hi
IA,50–59,312837,covered_worker_hi
IA,60–61,63343,covered_worker_hi
IA,62–64,84151,covered_worker_hi
IA,65–69,87517,covered_worker_hi
IA,70 or older,72013,covered_worker_hi
ID,Under 20,95677,covered_worker_hi
ID,20–29,246945,covered_worker_hi
ID,30–39,226136,covered_worker_hi
ID,40–49,213896,covered_worker_hi
ID,50–59,175952,covered_worker_hi
ID,60–61,32946,covered_worker_hi
ID,62–64,41514,covered_worker_hi
ID,65–69,44676,covered_worker_hi
ID,70 or older,35292,covered_worker_hi
IL,Under 20,452171,covered_worker_hi
IL,20–29,1459738,covered_worker_hi
IL,30–39,1495336,covered_worker_hi
IL,40–49,1304900,covered_worker_hi
IL,50–59,1263080,covered_worker_hi
IL,60–61,235623,covered_worker_hi
IL,62–64,301005,covered_worker_hi
IL,65–69,314265,covered_worker_hi
IL,70 or older,233073,covered_worker_hi
IN,Under 20,279993,covered_worker_hi
IN,20–29,843243,covered_worker_hi
IN,30–39,796731,covered_worker_hi
IN,40–49,720434,covered_worker_hi
IN,50–59,657295,covered_worker_hi
IN,60–61,123625,covered_worker_hi
IN,62–64,157694,covered_worker_hi
IN,65–69,159428,covered_worker_hi
IN,70 or older,136069,covered_worker_hi
KS,Under 20,130765,covered_worker_hi
KS,20–29,352414,covered_worker_hi
KS,30–39,328342,covered_worker_hi
KS,40–49,299883,covered_worker_hi
KS,50–59,266019,covered_worker_hi
KS,60–61,56917,covered_worker_hi
KS,62–64,74869,covered_worker_hi
KS,65–69,72931,covered_worker_hi
KS,70 or older,66097,covered_worker_hi
KY,Under 20,162386,covered_worker_hi
KY,20–29,516738,covered_worker_hi
KY,30–39,504192,covered_worker_hi
KY,40–49,457271,covered_worker_hi
KY,50–59,412697,covered_worker_hi
KY,60–61,69871,covered_worker_hi
KY,62–64,90577,covered_worker_hi
KY,65–69,93841,covered_worker_hi
KY,70 or older,74971,covered_worker_hi
LA,Under 20,139844,covered_worker_hi
LA,20–29,489503,covered_worker_hi
LA,30–39,519696,covered_worker_hi
LA,40–49,473081,covered_worker_hi
LA,50–59,404230,covered_worker_hi
LA,60–61,72115,covered_worker_hi
LA,62–64,91393,covered_worker_hi
LA,65–69,101389,covered_worker_hi
LA,70 or older,80377,covered_worker_hi
MA,Under 20,252861,covered_worker_hi
MA,20–29,822843,covered_worker_hi
MA,30–39,844875,covered_worker_hi
MA,40–49,716864,covered_worker_hi
MA,50–59,742874,covered_worker_hi
MA,60–61,145250,covered_worker_hi
MA,62–64,192986,covered_worker_hi
MA,65–69,207266,covered_worker_hi
MA,70 or older,153716,covered_worker_hi
MD,Under 20,188396,covered_worker_hi
MD,20–29,655255,covered_worker_hi
MD,30–39,744098,covered_worker_hi
MD,40–49,653113,covered_worker_hi
MD,50–59,654235,covered_worker_hi
MD,60–61,125257,covered_worker_hi
MD,62–64,157388,covered_worker_hi
MD,65–69,168914,covered_worker_hi
MD,70 or older,119443,covered_worker_hi
ME,Under 20,51103,covered_worker_hi
ME,20–29,142496,covered_worker_hi
ME,30–39,155348,covered_worker_hi
ME,40–49,136376,covered_worker_hi
ME,50–59,152594,covered_worker_hi
ME,60–61,29988,covered_worker_hi
ME,62–64,39168,covered_worker_hi
ME,65–69,40698,covered_worker_hi
ME,70 or older,38454,covered_worker_hi
MI,Under 20,350986,covered_worker_hi
MI,20–29,1112118,covered_worker_hi
MI,30–39,1135272,covered_worker_hi
MI,40–49,982373,covered_worker_hi
MI,50–59,989105,covered_worker_hi
MI,60–61,185336,covered_worker_hi
MI,62–64,238275,covered_worker_hi
MI,65–69,246435,covered_worker_hi
MI,70 or older,177788,covered_worker_hi
MN,Under 20,261837,covered_worker_hi
MN,20–29,642403,covered_worker_hi
MN,30–39,711560,covered_worker_hi
MN,40–49,637405,covered_worker_hi
MN,50–59,585690,covered_worker_hi
MN,60–61,114955,covered_worker_hi
MN,62–64,149228,covered_worker_hi
MN,65–69,150350,covered_worker_hi
MN,70 or older,112201,covered_worker_hi
MO,Under 20,242661,covered_worker_hi
MO,20–29,698708,covered_worker_hi
MO,30–39,725126,covered_worker_hi
