year,cap,excess_wages_T,excess_se_T,mtr_bar,gross_wages_B,gross_both_B,offset_both_B,net_both_B,net_wages_B
2027,189000,1.91815501652205,0.275229029343632,0.336964495224375,237.851222048735,271.979621687345,45.8237379665964,226.155883720749,197.777513560658
2028,196200,2.00111560647128,0.277001829649391,0.338019550413187,248.138335202439,282.486562078963,47.742990355849,234.743571723114,206.200530949736
2029,204000,2.07804125317302,0.298996209706129,0.340522511898939,257.677115393455,294.752645397015,50.1849555997244,244.567689797291,213.804686097129
2030,211200,2.16752441191241,0.313588582837847,0.337915117785635,268.773027077139,307.658011349032,51.9811465713512,255.676864777681,223.361792525953
2031,219000,2.25323728621642,0.32759722281418,0.337856828502775,279.401423490836,320.023479119794,54.0610588509189,265.962420268875,232.202584080949
2032,226500,2.34380093370231,0.341974801725542,0.339381702552081,290.631315779087,333.036191193054,56.5131947892795,276.522996403775,241.313840397058
2033,234300,2.43111881944841,0.355740598015437,0.343070708892215,301.458733611603,345.570567765517,59.2775698278006,286.292997937716,249.747902890662
2034,242400,2.51893781089067,0.369997749021015,0.340777095273898,312.348288550443,358.228009429049,61.0379502494908,297.190059179558,259.127717307446
2035,250500,2.61887499421047,0.385663223686235,0.341718718306674,324.740499282099,372.562739019192,63.655830833231,308.906908185961,269.255545683625
2036,258900,2.72764709743332,0.401394113863255,0.342905885659337,338.228240081732,388.001110200775,66.5239321651014,321.477178035674,280.238012971619
