year,cell,wage_lower,wage_upper,n_workers,n_workers_mtr,avg_wages,total_wages,avg_mtr_iit,avg_mtr_iit_wtd
2027,$0k-$20k,0,20000,37483272.5779359,37483272.5779359,9660.23167713269,362097097119.975,0.0104997200680119,0.0231226499464044
2027,$20k-$40k,20000,40000,26217098.3636978,26217098.3636978,29653.6224452016,777431936485.807,0.117977364502721,0.123294725877301
2027,$40k-$60k,40000,60000,31782570.9988655,31782570.9988655,49469.7191405517,1572274860878.52,0.150548176511577,0.150254595710292
2027,$60k-$80k,60000,80000,21713892.7435175,21713892.7435175,69071.4087907787,1499809162126.62,0.16032683489074,0.161758854485546
2027,$80k-$100k,80000,1e+05,12950374.184804,12950374.184804,89405.1705491702,1157830412667.97,0.198373387252813,0.198334896252411
2027,$100k-$120k,1e+05,120000,9022166.21563063,9022166.21563063,109371.47819284,986767655505.027,0.202053087313226,0.201993651662592
2027,$120k-$140k,120000,140000,6038304.10229999,6038304.10229999,129361.619388783,781124797035.456,0.208935177973698,0.209216533503978
2027,$140k-$160k,140000,160000,2849725.84274299,2849725.84274299,149462.436505913,425926967830.233,0.23840483872311,0.238646360944369
2027,$160k-$180k,160000,180000,3550574.68070225,3550574.68070225,169711.032317706,602571694383.088,0.244727265637853,0.244750411467112
2027,$180k-$200k,180000,2e+05,2770199.20556427,2770199.20556427,188996.23297346,523557214437.718,0.245511673115282,0.245514591956714
2027,$200k-$220k,2e+05,220000,1832737.30004033,1832737.30004033,209220.311306982,383445868458.355,0.245160165566114,0.245144935049041
2027,$220k-$240k,220000,240000,1284129.80527855,1284129.80527855,229319.6896121,294476248368.123,0.262061216257703,0.262157132541961
2027,$240k-$260k,240000,260000,997406.031360224,997406.031360224,249168.881398792,248522545134.435,0.277875144830016,0.27781875852846
2027,$260k-$280k,260000,280000,693438.707928383,693438.707928383,270385.361507922,187495675726.802,0.293472640810955,0.293483545845928
2027,$280k-$300k,280000,3e+05,528581.58929836,528581.58929836,288821.958484709,152665969840.112,0.288909239303944,0.288912761844607
2027,$300k-$320k,3e+05,320000,356356.928736555,356356.928736555,309252.19538418,110204162552.144,0.282160270441647,0.282025020732705
2027,$320k-$340k,320000,340000,340166.084420275,340166.084420275,329848.418376177,112203244931.245,0.271039801636064,0.271040197101935
2027,$340k-$360k,340000,360000,277842.596192407,277842.596192407,348988.749605699,96963940232.3893,0.273450346151833,0.273500921507787
2027,$360k-$380k,360000,380000,235782.22565047,235782.22565047,369704.494037291,87169748437.0934,0.274873209720483,0.274846336323424
2027,$380k-$400k,380000,4e+05,196008.641776654,196008.641776654,389949.034842813,76433380681.6572,0.28340000129912,0.283414971597403
2027,$400k-$420k,4e+05,420000,201457.094204659,201457.094204659,409743.251346588,82545684786.2526,0.290099622515126,0.29008424813857
2027,$420k-$440k,420000,440000,171769.724075377,171769.724075377,430008.982188522,73862524220.4561,0.287388978817439,0.287426203446255
2027,$440k-$460k,440000,460000,122091.960113183,122091.960113183,450436.876565337,54994721167.122,0.307852821070375,0.307899558275157
2027,$460k-$480k,460000,480000,132895.190587962,132895.190587962,469806.353336145,62435004866.0423,0.314119471877645,0.314128570334716
2027,$480k-$500k,480000,5e+05,100425.292671019,100425.292671019,489826.363125621,49190955874.8711,0.336926497642885,0.337057304366144
2027,$500k-$550k,5e+05,550000,254190.185661079,254190.185661079,523428.870006822,133050481647.403,0.367510088111613,0.367883199244671
2027,$550k-$600k,550000,6e+05,198786.993238781,198786.993238781,574700.335594945,114242951726.238,0.377730908524617,0.377648763405957
2027,$600k-$650k,6e+05,650000,124930.878494546,124930.878494546,623132.281827469,77848463387.0169,0.359707789301278,0.359697458720646
2027,$650k-$700k,650000,7e+05,106213.368416744,106213.368416744,674884.926007926,71681801284.9866,0.358156550980565,0.358076667428603
2027,$700k-$750k,7e+05,750000,103901.587305563,103901.587305563,725932.469533496,75425535861.1774,0.359280746458053,0.359251458253446
2027,$750k-$800k,750000,8e+05,98481.6433555672,98481.6433555672,774257.429318012,76250144019.4947,0.355523246503447,0.355572849975912
2027,$800k-$850k,8e+05,850000,63547.5790719346,63547.5790719346,822965.621665791,52297472916.2907,0.367567395290565,0.367559314616612
2027,$850k-$900k,850000,9e+05,63265.9050445375,63265.9050445375,873567.278633807,55267024500.0614,0.364409160099551,0.364401935287298
2027,$900k-$950k,9e+05,950000,49788.2495841995,49788.2495841995,924118.141632921,46010224680.9065,0.367243776642728,0.367247613007556
2027,$950k-$1000k,950000,1e+06,43228.3742225898,43228.3742225898,971537.882611485,41998003160.9518,0.358462489684003,0.358426645479601
2027,$1M+,1e+06,Inf,298517.407482799,298517.407482799,2587306.71116191,772356091778.902,0.366147875727165,0.36598264546583
2027,All workers,0,Inf,163254120.259973,163254120.259973,75210.5346508756,12278429668710.9,0.135845329278141,0.218137455312037
2028,$0k-$20k,0,20000,36000578.5821465,36000578.5821465,9580.84815274036,344916076806.342,0.0108092734276213,0.0230961137643268
2028,$20k-$40k,20000,40000,24985290.4499781,24985290.4499781,29007.9018087831,724770852036.891,0.113651208623227,0.119186408193908
2028,$40k-$60k,40000,60000,31471743.8604136,31471743.8604136,49456.0102166584,1556466885896.67,0.151392805201055,0.15113729808235
2028,$60k-$80k,60000,80000,22707869.6374537,22707869.6374537,69316.4854274391,1574029714812.75,0.157901330304932,0.1592255908251
2028,$80k-$100k,80000,1e+05,13060032.6399864,13060032.6399864,89485.2975555586,1168680906874.49,0.197233639357037,0.197366367278181
2028,$100k-$120k,1e+05,120000,9373192.97474906,9373192.97474906,109330.868364682,1024779327279.05,0.202438715725532,0.202525630324396
2028,$120k-$140k,120000,140000,6479847.2391125,6479847.2391125,129388.040807328,838414738999.537,0.204963276281601,0.205134092429044
2028,$140k-$160k,140000,160000,3412205.55788464,3412205.55788464,148329.446327621,506130561157.059,0.231840043447952,0.232092646164204
2028,$160k-$180k,160000,180000,3197730.01863795,3197730.01863795,170604.761868985,545547968351.033,0.245363166103462,0.245334329379617
2028,$180k-$200k,180000,2e+05,3089107.5052352,3089107.5052352,189452.572194921,585239362653.443,0.264409774385184,0.264392243441248
2028,$200k-$220k,2e+05,220000,2061276.1237831,2061276.1237831,209642.418319965,432130911415.093,0.277909915174155,0.277497439666233
2028,$220k-$240k,220000,240000,1398337.1096268,1398337.1096268,229708.921329412,321210509107.26,0.25425810724498,0.254441166719181
2028,$240k-$260k,240000,260000,1115644.90890961,1115644.90890961,249850.900085047,278744884666.366,0.278399664728575,0.278526089675063
2028,$260k-$280k,260000,280000,725330.474244342,725330.474244342,269461.342220208,195448523143.1,0.2852672697285,0.285399798461425
2028,$280k-$300k,280000,3e+05,656430.178605709,656430.178605709,289982.268378045,190353112223.888,0.2935503466691,0.29350278868413
2028,$300k-$320k,3e+05,320000,417978.234761218,417978.234761218,309436.17173512,129337584833.114,0.288011928167331,0.287986646777004
2028,$320k-$340k,320000,340000,310456.693082159,310456.693082159,330292.246592358,102541438627.74,0.274442994978429,0.274474321249142
2028,$340k-$360k,340000,360000,327603.482017991,327603.482017991,349784.716581619,114590691108.815,0.271175286398524,0.271193652089734
2028,$360k-$380k,360000,380000,230311.985875203,230311.985875203,369312.52577453,85057101219.7189,0.275983092260585,0.276039964378237
2028,$380k-$400k,380000,4e+05,221162.559867736,221162.559867736,389008.952836528,86034215820.7939,0.277597904020318,0.27765257107929
2028,$400k-$420k,4e+05,420000,193527.733686753,193527.733686753,410047.506551075,79355564646.7334,0.283985244052324,0.284055490489365
2028,$420k-$440k,420000,440000,186538.478154106,186538.478154106,429455.065612596,80109894374.9452,0.291535610275459,0.291505464478976
2028,$440k-$460k,440000,460000,158950.949012671,158950.949012671,449617.64810802,71467151859.615,0.293572748014722,0.293666783896855
2028,$460k-$480k,460000,480000,120689.228874411,120689.228874411,470485.130430593,56782487588.5449,0.312163282309717,0.312240163751647
2028,$480k-$500k,480000,5e+05,125013.461215091,125013.461215091,489667.383889171,61215014504.1241,0.325189791070474,0.325218465679413
2028,$500k-$550k,5e+05,550000,246916.234339902,246916.234339902,523917.133252074,129363645648.759,0.358609468349422,0.358985308937031
2028,$550k-$600k,550000,6e+05,216326.345945913,216326.345945913,573779.549415582,124123633303.565,0.376733540330526,0.376690067567973
2028,$600k-$650k,6e+05,650000,153087.87817452,153087.87817452,621950.177311669,95213032974.9098,0.357811959902717,0.357757671025074
2028,$650k-$700k,650000,7e+05,109840.190658157,109840.190658157,674672.988174144,74106209652.9565,0.360881596654211,0.36090400683829
2028,$700k-$750k,7e+05,750000,96292.6684178146,96292.6684178146,724935.03476267,69805928926.8586,0.357702531328103,0.357745295845876
