age_bin,n_records,wtd_pop_mil,wtd_mean,p5,p10,p25,p50,p75,p90,p95,p99
<25,17666,25.628,24051,673,2116,5360,16979,35715,55576,74407,115777
25-29,14322,17.855,56799,1439,4554,17272,39814,70845,118542,167865,287222
30-34,13691,18.415,65465,3020,10244,22568,46338,77474,127508,182164,318845
35-39,18550,17.017,104964,2970,12316,26578,59032,115865,207370,283372,684199
40-44,17421,15.811,107916,2286,11397,26930,61149,120484,209663,288253,672800
45-49,24068,14.14,133206,0,5129,29124,68079,132010,254410,382850,1009777
50-54,25227,13.722,140065,0,6719,29526,70259,137017,261920,395514,1034012
55-59,23858,13.468,137729,0,2115,28578,73829,145559,247572,373328,1018050
60-64,21631,13.533,136371,0,2137,29714,72452,137325,244117,370428,1015752
65-69,15445,15.351,97227,0,0,0,38083,126489,202726,302399,700545
70-74,11601,12.194,100504,0,0,0,40848,128772,207511,306870,725566
75-79,7899,8.946,101415,0,0,0,40563,129529,207032,309715,728944
80+,10452,10.717,108012,0,0,0,45384,135746,221046,320993,696319
All,221831,196.798,94602,0,0,15223,45939,104380,191897,273911,658322
