dimension,bin,group,adults,share_of_all,tax_year
age,18_25,above threshold,2102835.96564668,0.0599952403281451,2022
age,26_34,above threshold,2554307.49906533,0.0728760087719351,2022
age,35_44,above threshold,2492416.16726099,0.0711102099238596,2022
age,45_54,above threshold,2159542.59549336,0.0616131163495895,2022
age,55_64,above threshold,2281891.88313486,0.0651038189226607,2022
age,65_74,above threshold,2109082.96757877,0.0601734712450444,2022
age,75p,above threshold,1130997.1577682,0.0322680643660595,2022
age,18_25,below threshold,402124.805016553,0.0114728750663428,2022
age,26_34,below threshold,2012236.62896804,0.0574103839406742,2022
age,35_44,below threshold,2457154.87749213,0.0701041830208947,2022
age,45_54,below threshold,3130991.28193797,0.0893291619003806,2022
age,55_64,below threshold,4545371.3630044,0.129682320332701,2022
age,65_74,below threshold,3749904.66925896,0.106987152357668,2022
age,75p,below threshold,3921188.67781887,0.111873993474045,2022
family,"married, dependents",above threshold,2067996.67894495,0.0590012534396393,2022
family,"married, none",above threshold,2858861.49914792,0.0815651270514172,2022
family,"unmarried, dependents",above threshold,1451438.00656258,0.0414104444891147,2022
family,"unmarried, none",above threshold,8452778.05129268,0.241163104927121,2022
family,"married, dependents",below threshold,684758.296778734,0.0195365873767988,2022
family,"married, none",below threshold,2959046.00082283,0.0844234542596895,2022
family,"unmarried, dependents",below threshold,2127375.36346369,0.0606953648711866,2022
family,"unmarried, none",below threshold,14447792.6424285,0.412204663584942,2022
income,$1-5k,above threshold,231044.804941466,0.00659185444109038,2022
income,$10-15k,above threshold,501128.383323104,0.0142975097838782,2022
income,$15-25k,above threshold,2783477.73827856,0.0794143806669714,2022
income,$25-50k,above threshold,5302973.07758476,0.151297176499233,2022
income,$5-10k,above threshold,267166.063168085,0.00762241678816084,2022
income,$50k+,above threshold,5638233.70879103,0.160862374389312,2022
income,none,above threshold,107050.459861172,0.00305421733864741,2022
income,$1-5k,below threshold,3832182.5721769,0.109334592975909,2022
income,$10-15k,below threshold,821118.566046194,0.0234270321188337,2022
income,$15-25k,below threshold,450838.376230382,0.0128627040686811,2022
income,$25-50k,below threshold,85067.2529996226,0.00242702254058032,2022
income,$5-10k,below threshold,921688.197787772,0.0262963473315367,2022
income,none,below threshold,14108077.3382544,0.402512371057119,2022
