gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2678350,0,317313,2361037
institutional,18_25,290110,261590,28520,0
institutional,26_34,634996,555181,79815,0
institutional,35_44,644519,562016,82503,0
institutional,45_54,411237,366212,45025,0
institutional,55_64,373692,339088,34604,0
institutional,65_74,356119,329297,26822,0
institutional,75p,794900,725623,69277,0
other_noninstitutional,18_25,356529,62848.9704564031,293680.029543597,0
other_noninstitutional,26_34,237787,83094.3367006385,154692.663299362,0
other_noninstitutional,35_44,167052,71924.7992004983,95127.2007995017,0
other_noninstitutional,45_54,175255,81590.3528200783,93664.6471799217,0
other_noninstitutional,55_64,205688,99982.4746442894,105705.525355711,0
other_noninstitutional,65_74,119151,62504.2968543711,56646.7031456289,0
other_noninstitutional,75p,140460,76192.5713189457,64267.4286810543,0
