band,hh_above,gq_nonfiling,fixed_nonfiling,target,delta,achieved,below_mass,shortfall,anchor,dep_nonfiling,scenario,netting_scale,tax_year,gamma
18_25,1522258.40599465,417449.67853452,1939708.08452917,2451370.56704133,2.24564183876703,2451370.56704133,6983532.17,0,11610959.5584352,9159588.99139387,central,1,2017,-0.7
26_34,2470490.46551058,631208.804464392,3101699.26997497,4245771.4759115,1.32386170020463,4245771.4759115,4937561.75,0,5789313.43197992,1543541.95606842,central,1,2017,-0.7
35_44,2194782.98603602,565016.764301563,2759799.75033759,4468726.39239203,0.767555693889048,4468726.39239203,4314032.65,0,5200274.07493058,731547.682538547,central,1,2017,-0.7
45_54,2203367.6216746,465228.221925135,2668595.84359974,5822027.50560871,0.0528811976405742,5822027.50560871,4934269.51,0,6566146.74452648,744119.23891777,central,1,2017,-0.7
55_64,2164336.45813518,401019.12513822,2565355.5832734,6630764.14720854,0.454946633794701,6630764.14720854,8347280.12,0,7215251.99200434,584487.844795795,central,1,2017,-0.7
65_74,1430095.0463142,348667.63963524,1778762.68594944,5662770.44599999,0.729864550603741,5662770.44599999,12760627.06,0,5995943.99537839,333173.549378402,central,1,2017,-0.7
75p,1012840.79020384,920193.163498176,1933033.95370202,5575061.69262332,0.81350991602261,5575061.69262332,12514281.66,0,6092220.20274508,517158.510121761,central,1,2017,-0.7
18_25,1522258.40599465,417449.67853452,1939708.08452917,8468304.46824796,-2.17863942377399,8468304.46824796,6983532.17,0,11610959.5584352,9159588.99139387,ht2_floor.ht2_floor,0.34310001170795,2017,0
26_34,2470490.46551058,631208.804464392,3101699.26997497,5259724.16878113,0.269175125861644,5259724.16878113,4937561.75,0,5789313.43197992,1543541.95606842,ht2_floor.ht2_floor,0.34310001170795,2017,0
35_44,2194782.98603602,565016.764301563,2759799.75033759,4949280.05648668,0.107871759823456,4949280.05648668,4314032.65,0,5200274.07493058,731547.682538547,ht2_floor.ht2_floor,0.34310001170795,2017,0
45_54,2203367.6216746,465228.221925135,2668595.84359974,6310839.42494168,-0.638537850128085,6310839.42494168,4934269.51,0,6566146.74452648,744119.23891777,ht2_floor.ht2_floor,0.34310001170795,2017,0
55_64,2164336.45813518,401019.12513822,2565355.5832734,7014714.20561175,0.152688011684082,7014714.20561175,8347280.12,0,7215251.99200434,584487.844795795,ht2_floor.ht2_floor,0.34310001170795,2017,0
65_74,1430095.0463142,348667.63963524,1778762.68594944,5881632.14668588,0.617445687551364,5881632.14668588,12760627.06,0,5995943.99537839,333173.549378402,ht2_floor.ht2_floor,0.34310001170795,2017,0
75p,1012840.79020384,920193.163498176,1933033.95370202,5914783.11186744,0.688742563897328,5914783.11186744,12514281.66,0,6092220.20274508,517158.510121761,ht2_floor.ht2_floor,0.34310001170795,2017,0
18_25,1522258.40599465,417449.67853452,1939708.08452917,3838801.80850976,0.822190407539831,3838801.80850976,6983532.17,0,11610959.5584352,9159588.99139387,depstat.depstat,0.848526910675574,2017,0
26_34,2470490.46551058,631208.804464392,3101699.26997497,4479576.54449905,0.959629760033492,4479576.54449905,4937561.75,0,5789313.43197992,1543541.95606842,depstat.depstat,0.848526910675574,2017,0
35_44,2194782.98603602,565016.764301563,2759799.75033759,4579536.17985427,0.459460547609711,4579536.17985427,4314032.65,0,5200274.07493058,731547.682538547,depstat.depstat,0.848526910675574,2017,0
45_54,2203367.6216746,465228.221925135,2668595.84359974,5934741.54555333,-0.287870895427527,5934741.54555333,4934269.51,0,6566146.74452648,744119.23891777,depstat.depstat,0.848526910675574,2017,0
55_64,2164336.45813518,401019.12513822,2565355.5832734,6719298.32673234,0.290745318083969,6719298.32673234,8347280.12,0,7215251.99200434,584487.844795795,depstat.depstat,0.848526910675574,2017,0
65_74,1430095.0463142,348667.63963524,1778762.68594944,5713237.27280552,0.673999590681615,5713237.27280552,12760627.06,0,5995943.99537839,333173.549378402,depstat.depstat,0.848526910675574,2017,0
75p,1012840.79020384,920193.163498176,1933033.95370202,5653397.28982188,0.773141436350604,5653397.28982188,12514281.66,0,6092220.20274508,517158.510121761,depstat.depstat,0.848526910675574,2017,0
