band,hh_above,gq_nonfiling,fixed_nonfiling,target,delta,achieved,below_mass,shortfall,anchor,dep_nonfiling,scenario,netting_scale,tax_year
18_25,1741363.144756,272719.705417204,2014082.85017321,2690194.10735212,1.78197757550959,2690194.10735212,6470254.98,0,10480732.4592505,7790538.35189838,central,1,2022
26_34,2405920.26430822,554353.064382395,2960273.32869061,4585619.99981724,0.608042832713047,4585619.99981724,4462145.93,0,6060648.36716071,1475028.36734347,central,1,2022
35_44,2443135.97909737,598489.190770178,3041625.16986755,4962070.65617724,0.334860864201581,4962070.65617724,4185932.29,0,5857095.63167755,895024.975500311,central,1,2022
45_54,2069309.55587815,432039.166409203,2501348.72228735,5296439.00578378,-0.321399715915857,5296439.00578378,4253661.92,0,5997197.08911219,700758.08332841,central,1,2022
55_64,1927107.12340325,462834.793259853,2389941.91666311,6836679.75654314,0.164574879585485,6836679.75654314,8170238.27,0,7497682.02397958,661002.267436437,central,1,2022
65_74,1396973.60584596,453214.727966456,1850188.33381242,5811684.7538023,0.857514133941138,5811684.7538023,14978348.44,0,6251531.38759247,439846.633790174,central,1,2022
75p,847605.522636914,958083.358291448,1805688.88092836,4972117.72476244,1.00589215608157,4972117.72476244,14097329.93,0,5657916.04122704,685798.316464604,central,1,2022
18_25,1741363.144756,272719.705417204,2014082.85017321,8003022.81552836,-2.16319538580462,8003022.81552836,6470254.98,0,10480732.4592505,7790538.35189838,ht2_floor.ht2_floor,0.318040876227556,2022
26_34,2405920.26430822,554353.064382395,2960273.32869061,5591529.05275029,-0.341484368509903,5591529.05275029,4462145.93,0,6060648.36716071,1475028.36734347,ht2_floor.ht2_floor,0.318040876227556,2022
35_44,2443135.97909737,598489.190770178,3041625.16986755,5572441.10422388,-0.276911347582106,5572441.10422388,4185932.29,0,5857095.63167755,895024.975500311,ht2_floor.ht2_floor,0.318040876227556,2022
45_54,2069309.55587815,432039.166409203,2501348.72228735,5774327.37426688,-0.846866736311799,5774327.37426688,4253661.92,0,5997197.08911219,700758.08332841,ht2_floor.ht2_floor,0.318040876227556,2022
55_64,1927107.12340325,462834.793259853,2389941.91666311,7287456.28365569,-0.0606421131782004,7287456.2836557,8170238.27,0,7497682.02397958,661002.267436437,ht2_floor.ht2_floor,0.318040876227556,2022
65_74,1396973.60584596,453214.727966456,1850188.33381242,6111642.1787761,0.764901897876458,6111642.1787761,14978348.44,0,6251531.38759247,439846.633790174,ht2_floor.ht2_floor,0.318040876227556,2022
75p,847605.522636914,958083.358291448,1805688.88092836,5439804.14374325,0.848349552344354,5439804.14374325,14097329.93,0,5657916.04122704,685798.316464604,ht2_floor.ht2_floor,0.318040876227556,2022
18_25,1741363.144756,272719.705417204,2014082.85017321,4353063.44789467,0.356705927536191,4353063.44789467,6470254.98,0,10480732.4592505,7790538.35189838,depstat.depstat,0.786552704648794,2022
26_34,2405920.26430822,554353.064382395,2960273.32869061,4900460.815393,0.306893185677223,4900460.815393,4462145.93,0,6060648.36716071,1475028.36734347,depstat.depstat,0.786552704648794,2022
35_44,2443135.97909737,598489.190770178,3041625.16986755,5153111.31646956,0.145048564101021,5153111.31646956,4185932.29,0,5857095.63167755,895024.975500311,depstat.depstat,0.786552704648794,2022
45_54,2069309.55587815,432039.166409203,2501348.72228735,5446013.92336572,-0.477219937491167,5446013.92336572,4253661.92,0,5997197.08911219,700758.08332841,depstat.depstat,0.786552704648794,2022
55_64,1927107.12340325,462834.793259853,2389941.91666311,6977768.90274847,0.0951130778728024,6977768.90274847,8170238.27,0,7497682.02397958,661002.267436437,depstat.depstat,0.786552704648794,2022
65_74,1396973.60584596,453214.727966456,1850188.33381242,5905568.82815414,0.828204432312258,5905568.82815414,14978348.44,0,6251531.38759247,439846.633790174,depstat.depstat,0.786552704648794,2022
75p,847605.522636914,958083.358291448,1805688.88092836,5118499.52056822,0.955385272164569,5118499.52056822,14097329.93,0,5657916.04122704,685798.316464604,depstat.depstat,0.786552704648794,2022
