year,filer_units,nonfiler_units,nonfiler_adults,pep_adults_18p
2017,152141150.150006,26182694.54893,30678390.65667,
2018,153158073.903254,26316973.076395,30859525.7762626,
2019,157593177.9942,26455923.8122987,31017138.2236166,
2020,158261537.746306,26772311.1007052,31432090.0892898,257310949
2021,159086008.728859,27036822.8007803,31771624.7175177,258460376
2022,160629232.758432,27631366.7519198,32378017.190936,260614133
2023,162835847.849081,28186902.047578,33033357.8839078,263537816
2024,165493091.260218,28853048.0416219,33816911.6494657,266978268
2025,167436058.456155,29409892.4729791,34484259.7965784,
2026,168416183.355455,29839041.607977,34999733.8270488,
2027,169234078.853141,30207147.3057325,35463876.3718818,
2028,170053334.613546,30649201.6785431,36003821.9096224,
2029,170852849.49797,31060172.5209571,36499092.1034867,
2030,171608542.902017,31462229.6388021,36974867.0406318,
2031,172298498.245418,31826144.3454828,37405355.801956,
2032,172934305.100508,32115577.4729016,37756676.4393477,
2033,173609558.145633,32416796.6999708,38118624.8811202,
2034,174460141.865689,32722401.2917923,38463573.9208644,
2035,175020177.130389,32964100.0255272,38748801.2009404,
