state,residual_nonfiling_adults
WY,56395
SD,72973
VT,73890
AK,87338
ND,87618
MT,124722
NH,131142
DE,135105
DC,143073
RI,156403
ME,167547
NE,183498
HI,212982
ID,224514
UT,292489
WV,341000
KS,346141
NM,361849
IA,388919
CT,455738
NV,457177
MN,470154
AR,558419
WI,586664
CO,606027
MS,624088
OR,634169
OK,691749
MD,766473
KY,782704
SC,811611
IN,826550
MO,856985
MA,933132
LA,939690
WA,939868
AL,1043925
TN,1063639
NJ,1064784
VA,1125801
AZ,1254117
MI,1323116
OH,1652538
NC,1656721
IL,1703235
PA,1786105
GA,1883478
NY,3070257
FL,3314220
TX,4160199
CA,5903022
