state,n_units,year,variant
AK,338428,2022,v0
AL,2100943,2022,v0
AR,1252298,2022,v0
AZ,3305162,2022,v0
CA,17169695,2022,v0
CO,2774904,2022,v0
CT,1692045,2022,v0
DC,359759,2022,v0
DE,483764,2022,v0
FL,10187376,2022,v0
GA,4691675,2022,v0
HI,672275,2022,v0
IA,1415061,2022,v0
ID,823441,2022,v0
IL,5697473,2022,v0
IN,2969414,2022,v0
KS,1275126,2022,v0
KY,1888110,2022,v0
LA,1864431,2022,v0
MA,3321484,2022,v0
MD,2835928,2022,v0
ME,672210,2022,v0
MI,4541635,2022,v0
MN,2619979,2022,v0
MO,2717037,2022,v0
MS,1164882,2022,v0
MT,509529,2022,v0
NC,4729156,2022,v0
ND,348189,2022,v0
NE,874721,2022,v0
NH,694011,2022,v0
NJ,4214245,2022,v0
NM,916872,2022,v0
NV,1452556,2022,v0
NY,8930263,2022,v0
OH,5271696,2022,v0
OK,1663129,2022,v0
OR,2014703,2022,v0
PA,5925895,2022,v0
RI,527134,2022,v0
SC,2316285,2022,v0
SD,403419,2022,v0
TN,3110204,2022,v0
TX,12416231,2022,v0
UT,1379502,2022,v0
VA,3894516,2022,v0
VT,317596,2022,v0
WA,3654676,2022,v0
WI,2747632,2022,v0
WV,747393,2022,v0
WY,257215,2022,v0
AK,320196,2022,gq_excluded
AL,2073918,2022,gq_excluded
AR,1239745,2022,gq_excluded
AZ,3269231,2022,gq_excluded
CA,16893412,2022,gq_excluded
CO,2736902,2022,gq_excluded
CT,1666388,2022,gq_excluded
DC,352861,2022,gq_excluded
DE,480238,2022,gq_excluded
FL,10072910,2022,gq_excluded
GA,4630672,2022,gq_excluded
HI,651903,2022,gq_excluded
IA,1394588,2022,gq_excluded
ID,810128,2022,gq_excluded
IL,5628339,2022,gq_excluded
IN,2930014,2022,gq_excluded
KS,1251612,2022,gq_excluded
KY,1860459,2022,gq_excluded
LA,1846754,2022,gq_excluded
MA,3269255,2022,gq_excluded
MD,2812665,2022,gq_excluded
ME,661481,2022,gq_excluded
MI,4467394,2022,gq_excluded
MN,2579185,2022,gq_excluded
MO,2690489,2022,gq_excluded
MS,1147511,2022,gq_excluded
MT,501009,2022,gq_excluded
NC,4650994,2022,gq_excluded
ND,339612,2022,gq_excluded
NE,860570,2022,gq_excluded
NH,684505,2022,gq_excluded
NJ,4168971,2022,gq_excluded
NM,904754,2022,gq_excluded
NV,1442260,2022,gq_excluded
NY,8779197,2022,gq_excluded
OH,5203998,2022,gq_excluded
OK,1634377,2022,gq_excluded
OR,1984317,2022,gq_excluded
PA,5815056,2022,gq_excluded
RI,517261,2022,gq_excluded
SC,2268898,2022,gq_excluded
SD,391671,2022,gq_excluded
TN,3074913,2022,gq_excluded
TX,12282831,2022,gq_excluded
UT,1365672,2022,gq_excluded
VA,3834848,2022,gq_excluded
VT,313351,2022,gq_excluded
WA,3581710,2022,gq_excluded
WI,2715741,2022,gq_excluded
WV,740461,2022,gq_excluded
WY,252457,2022,gq_excluded
AK,338428,2022,gq_differentiated
AL,2100943,2022,gq_differentiated
AR,1252298,2022,gq_differentiated
AZ,3305162,2022,gq_differentiated
CA,17169695,2022,gq_differentiated
CO,2774904,2022,gq_differentiated
CT,1692045,2022,gq_differentiated
DC,359759,2022,gq_differentiated
DE,483764,2022,gq_differentiated
FL,10187376,2022,gq_differentiated
GA,4691675,2022,gq_differentiated
HI,672275,2022,gq_differentiated
IA,1415061,2022,gq_differentiated
ID,823441,2022,gq_differentiated
IL,5697473,2022,gq_differentiated
IN,2969414,2022,gq_differentiated
KS,1275126,2022,gq_differentiated
KY,1888110,2022,gq_differentiated
LA,1864431,2022,gq_differentiated
MA,3321484,2022,gq_differentiated
MD,2835928,2022,gq_differentiated
ME,672210,2022,gq_differentiated
MI,4541635,2022,gq_differentiated
MN,2619979,2022,gq_differentiated
MO,2717037,2022,gq_differentiated
MS,1164882,2022,gq_differentiated
MT,509529,2022,gq_differentiated
NC,4729156,2022,gq_differentiated
ND,348189,2022,gq_differentiated
NE,874721,2022,gq_differentiated
NH,694011,2022,gq_differentiated
NJ,4214245,2022,gq_differentiated
NM,916872,2022,gq_differentiated
NV,1452556,2022,gq_differentiated
NY,8930263,2022,gq_differentiated
OH,5271696,2022,gq_differentiated
OK,1663129,2022,gq_differentiated
OR,2014703,2022,gq_differentiated
PA,5925895,2022,gq_differentiated
RI,527134,2022,gq_differentiated
SC,2316285,2022,gq_differentiated
SD,403419,2022,gq_differentiated
TN,3110204,2022,gq_differentiated
TX,12416231,2022,gq_differentiated
UT,1379502,2022,gq_differentiated
VA,3894516,2022,gq_differentiated
VT,317596,2022,gq_differentiated
WA,3654676,2022,gq_differentiated
WI,2747632,2022,gq_differentiated
WV,747393,2022,gq_differentiated
WY,257215,2022,gq_differentiated
