state,gq_type,band,persons,year
AK,dorm_student,18_25,2441,2018
AK,institutional,18_25,773,2018
AK,institutional,26_34,1854,2018
AK,institutional,35_44,735,2018
AK,institutional,45_54,979,2018
AK,institutional,55_64,32,2018
AK,institutional,65p,1658,2018
AK,institutional,u18,419,2018
AK,other_noninstitutional,18_25,5222,2018
AK,other_noninstitutional,26_34,2512,2018
AK,other_noninstitutional,35_44,1470,2018
AK,other_noninstitutional,45_54,4142,2018
AK,other_noninstitutional,55_64,3214,2018
AK,other_noninstitutional,65p,1280,2018
AK,other_noninstitutional,u18,41,2018
AL,dorm_student,18_25,40523,2018
AL,institutional,18_25,5418,2018
AL,institutional,26_34,11392,2018
AL,institutional,35_44,12054,2018
AL,institutional,45_54,10507,2018
AL,institutional,55_64,6571,2018
AL,institutional,65p,17610,2018
AL,institutional,u18,1719,2018
AL,other_noninstitutional,18_25,3598,2018
AL,other_noninstitutional,26_34,1472,2018
AL,other_noninstitutional,35_44,1999,2018
AL,other_noninstitutional,45_54,1547,2018
AL,other_noninstitutional,55_64,1646,2018
AL,other_noninstitutional,65p,1171,2018
AL,other_noninstitutional,u18,216,2018
AR,dorm_student,18_25,26858,2018
AR,institutional,18_25,3884,2018
AR,institutional,26_34,8040,2018
AR,institutional,35_44,9261,2018
AR,institutional,45_54,5277,2018
AR,institutional,55_64,4634,2018
AR,institutional,65p,16781,2018
AR,institutional,u18,1566,2018
AR,other_noninstitutional,18_25,2478,2018
AR,other_noninstitutional,26_34,441,2018
AR,other_noninstitutional,35_44,876,2018
AR,other_noninstitutional,45_54,941,2018
AR,other_noninstitutional,55_64,1001,2018
AR,other_noninstitutional,65p,874,2018
AR,other_noninstitutional,u18,1315,2018
AZ,dorm_student,18_25,40118,2018
AZ,institutional,18_25,10626,2018
AZ,institutional,26_34,25003,2018
AZ,institutional,35_44,19130,2018
AZ,institutional,45_54,10704,2018
AZ,institutional,55_64,7784,2018
AZ,institutional,65p,11842,2018
AZ,institutional,u18,2454,2018
AZ,other_noninstitutional,18_25,9126,2018
AZ,other_noninstitutional,26_34,4940,2018
AZ,other_noninstitutional,35_44,3308,2018
AZ,other_noninstitutional,45_54,2929,2018
AZ,other_noninstitutional,55_64,3693,2018
AZ,other_noninstitutional,65p,6808,2018
AZ,other_noninstitutional,u18,977,2018
CA,dorm_student,18_25,215321,2018
CA,institutional,18_25,43644,2018
CA,institutional,26_34,71932,2018
CA,institutional,35_44,57384,2018
CA,institutional,45_54,44963,2018
CA,institutional,55_64,37092,2018
CA,institutional,65p,95036,2018
CA,institutional,u18,12415,2018
CA,other_noninstitutional,18_25,60372,2018
CA,other_noninstitutional,26_34,39216,2018
CA,other_noninstitutional,35_44,25120,2018
CA,other_noninstitutional,45_54,27926,2018
CA,other_noninstitutional,55_64,36304,2018
CA,other_noninstitutional,65p,46736,2018
CA,other_noninstitutional,u18,12389,2018
CO,dorm_student,18_25,46443,2018
CO,institutional,18_25,5114,2018
CO,institutional,26_34,11208,2018
CO,institutional,35_44,13237,2018
CO,institutional,45_54,7382,2018
CO,institutional,55_64,5537,2018
CO,institutional,65p,14221,2018
CO,institutional,u18,1634,2018
CO,other_noninstitutional,18_25,4517,2018
CO,other_noninstitutional,26_34,2594,2018
CO,other_noninstitutional,35_44,3301,2018
CO,other_noninstitutional,45_54,2769,2018
CO,other_noninstitutional,55_64,912,2018
CO,other_noninstitutional,65p,698,2018
CO,other_noninstitutional,u18,1581,2018
CT,dorm_student,18_25,50513,2018
CT,institutional,18_25,4846,2018
CT,institutional,26_34,4324,2018
CT,institutional,35_44,4400,2018
CT,institutional,45_54,2830,2018
CT,institutional,55_64,3682,2018
CT,institutional,65p,20950,2018
CT,institutional,u18,308,2018
CT,other_noninstitutional,18_25,3650,2018
CT,other_noninstitutional,26_34,3801,2018
CT,other_noninstitutional,35_44,1143,2018
CT,other_noninstitutional,45_54,2702,2018
CT,other_noninstitutional,55_64,2753,2018
CT,other_noninstitutional,65p,5928,2018
CT,other_noninstitutional,u18,1414,2018
DC,dorm_student,18_25,23591,2018
DC,institutional,18_25,1182,2018
DC,institutional,26_34,1232,2018
DC,institutional,35_44,803,2018
DC,institutional,45_54,217,2018
DC,institutional,55_64,685,2018
DC,institutional,65p,2340,2018
DC,institutional,u18,303,2018
DC,other_noninstitutional,18_25,1032,2018
DC,other_noninstitutional,26_34,1489,2018
DC,other_noninstitutional,35_44,1129,2018
DC,other_noninstitutional,45_54,744,2018
DC,other_noninstitutional,55_64,3092,2018
DC,other_noninstitutional,65p,688,2018
DC,other_noninstitutional,u18,1102,2018
DE,dorm_student,18_25,9900,2018
DE,institutional,18_25,697,2018
DE,institutional,26_34,2617,2018
DE,institutional,35_44,1697,2018
DE,institutional,45_54,1490,2018
DE,institutional,55_64,962,2018
DE,institutional,65p,3870,2018
DE,institutional,u18,214,2018
DE,other_noninstitutional,18_25,790,2018
DE,other_noninstitutional,26_34,181,2018
DE,other_noninstitutional,35_44,307,2018
DE,other_noninstitutional,45_54,732,2018
DE,other_noninstitutional,55_64,472,2018
DE,other_noninstitutional,65p,350,2018
DE,other_noninstitutional,u18,681,2018
FL,dorm_student,18_25,97121,2018
FL,institutional,18_25,25108,2018
FL,institutional,26_34,45815,2018
FL,institutional,35_44,44510,2018
FL,institutional,45_54,31768,2018
FL,institutional,55_64,27504,2018
FL,institutional,65p,67364,2018
FL,institutional,u18,8624,2018
FL,other_noninstitutional,18_25,19629,2018
FL,other_noninstitutional,26_34,13426,2018
FL,other_noninstitutional,35_44,7568,2018
FL,other_noninstitutional,45_54,9701,2018
FL,other_noninstitutional,55_64,11117,2018
FL,other_noninstitutional,65p,18244,2018
FL,other_noninstitutional,u18,2862,2018
GA,dorm_student,18_25,89319,2018
GA,institutional,18_25,19001,2018
GA,institutional,26_34,29211,2018
GA,institutional,35_44,27434,2018
GA,institutional,45_54,16785,2018
GA,institutional,55_64,14433,2018
GA,institutional,65p,30630,2018
GA,institutional,u18,2911,2018
GA,other_noninstitutional,18_25,15335,2018
GA,other_noninstitutional,26_34,5958,2018
GA,other_noninstitutional,35_44,3127,2018
GA,other_noninstitutional,45_54,3419,2018
GA,other_noninstitutional,55_64,3389,2018
GA,other_noninstitutional,65p,1679,2018
GA,other_noninstitutional,u18,1931,2018
HI,dorm_student,18_25,8082,2018
HI,institutional,18_25,854,2018
HI,institutional,26_34,1800,2018
HI,institutional,35_44,1492,2018
HI,institutional,45_54,1008,2018
HI,institutional,55_64,1138,2018
HI,institutional,65p,4312,2018
HI,institutional,u18,226,2018
HI,other_noninstitutional,18_25,10983,2018
HI,other_noninstitutional,26_34,3551,2018
HI,other_noninstitutional,35_44,2608,2018
HI,other_noninstitutional,45_54,1640,2018
HI,other_noninstitutional,55_64,1698,2018
HI,other_noninstitutional,65p,2793,2018
HI,other_noninstitutional,u18,1569,2018
IA,dorm_student,18_25,45731,2018
IA,institutional,18_25,3047,2018
IA,institutional,26_34,3178,2018
IA,institutional,35_44,4198,2018
IA,institutional,45_54,3813,2018
IA,institutional,55_64,3459,2018
IA,institutional,65p,22114,2018
IA,institutional,u18,1949,2018
IA,other_noninstitutional,18_25,1463,2018
IA,other_noninstitutional,26_34,2468,2018
IA,other_noninstitutional,35_44,1757,2018
IA,other_noninstitutional,45_54,1616,2018
IA,other_noninstitutional,55_64,1100,2018
IA,other_noninstitutional,65p,1568,2018
IA,other_noninstitutional,u18,1471,2018
ID,dorm_student,18_25,9107,2018
ID,institutional,18_25,2022,2018
ID,institutional,26_34,3471,2018
ID,institutional,35_44,3592,2018
ID,institutional,45_54,1442,2018
ID,institutional,55_64,1138,2018
ID,institutional,65p,4836,2018
ID,institutional,u18,847,2018
ID,other_noninstitutional,18_25,1404,2018
ID,other_noninstitutional,26_34,536,2018
ID,other_noninstitutional,35_44,79,2018
ID,other_noninstitutional,45_54,725,2018
ID,other_noninstitutional,55_64,324,2018
ID,other_noninstitutional,65p,339,2018
ID,other_noninstitutional,u18,299,2018
IL,dorm_student,18_25,87391,2018
IL,institutional,18_25,14834,2018
IL,institutional,26_34,23756,2018
IL,institutional,35_44,18471,2018
IL,institutional,45_54,15546,2018
IL,institutional,55_64,17350,2018
IL,institutional,65p,65025,2018
IL,institutional,u18,3618,2018
IL,other_noninstitutional,18_25,11389,2018
IL,other_noninstitutional,26_34,9632,2018
IL,other_noninstitutional,35_44,5131,2018
IL,other_noninstitutional,45_54,9498,2018
IL,other_noninstitutional,55_64,7924,2018
IL,other_noninstitutional,65p,6376,2018
IL,other_noninstitutional,u18,838,2018
IN,dorm_student,18_25,74335,2018
IN,institutional,18_25,10802,2018
IN,institutional,26_34,15471,2018
IN,institutional,35_44,14150,2018
IN,institutional,45_54,7715,2018
IN,institutional,55_64,8296,2018
IN,institutional,65p,35254,2018
IN,institutional,u18,3841,2018
IN,other_noninstitutional,18_25,1256,2018
IN,other_noninstitutional,26_34,2857,2018
IN,other_noninstitutional,35_44,1020,2018
IN,other_noninstitutional,45_54,4312,2018
IN,other_noninstitutional,55_64,2526,2018
IN,other_noninstitutional,65p,3711,2018
IN,other_noninstitutional,u18,2106,2018
KS,dorm_student,18_25,28294,2018
KS,institutional,18_25,2836,2018
KS,institutional,26_34,5892,2018
KS,institutional,35_44,5434,2018
KS,institutional,45_54,3939,2018
KS,institutional,55_64,2546,2018
KS,institutional,65p,18612,2018
KS,institutional,u18,1641,2018
KS,other_noninstitutional,18_25,4890,2018
KS,other_noninstitutional,26_34,1213,2018
KS,other_noninstitutional,35_44,617,2018
KS,other_noninstitutional,45_54,1762,2018
KS,other_noninstitutional,55_64,621,2018
KS,other_noninstitutional,65p,1251,2018
KS,other_noninstitutional,u18,84,2018
KY,dorm_student,18_25,41692,2018
KY,institutional,18_25,4411,2018
KY,institutional,26_34,13224,2018
KY,institutional,35_44,11592,2018
KY,institutional,45_54,7222,2018
KY,institutional,55_64,7561,2018
KY,institutional,65p,21878,2018
KY,institutional,u18,2132,2018
KY,other_noninstitutional,18_25,9415,2018
KY,other_noninstitutional,26_34,2739,2018
KY,other_noninstitutional,35_44,2261,2018
KY,other_noninstitutional,45_54,2749,2018
KY,other_noninstitutional,55_64,1054,2018
KY,other_noninstitutional,65p,2666,2018
KY,other_noninstitutional,u18,1101,2018
LA,dorm_student,18_25,24328,2018
LA,institutional,18_25,10635,2018
LA,institutional,26_34,18007,2018
LA,institutional,35_44,17584,2018
LA,institutional,45_54,9876,2018
LA,institutional,55_64,8659,2018
LA,institutional,65p,21722,2018
LA,institutional,u18,1749,2018
LA,other_noninstitutional,18_25,6263,2018
LA,other_noninstitutional,26_34,1928,2018
LA,other_noninstitutional,35_44,1963,2018
LA,other_noninstitutional,45_54,2676,2018
LA,other_noninstitutional,55_64,2413,2018
LA,other_noninstitutional,65p,1245,2018
LA,other_noninstitutional,u18,451,2018
MA,dorm_student,18_25,144421,2018
MA,institutional,18_25,5753,2018
MA,institutional,26_34,6372,2018
MA,institutional,35_44,5335,2018
MA,institutional,45_54,5817,2018
MA,institutional,55_64,7463,2018
MA,institutional,65p,34196,2018
MA,institutional,u18,2245,2018
MA,other_noninstitutional,18_25,2659,2018
MA,other_noninstitutional,26_34,10742,2018
MA,other_noninstitutional,35_44,6428,2018
MA,other_noninstitutional,45_54,3959,2018
MA,other_noninstitutional,55_64,5074,2018
MA,other_noninstitutional,65p,4960,2018
MA,other_noninstitutional,u18,2972,2018
MD,dorm_student,18_25,56450,2018
MD,institutional,18_25,6404,2018
MD,institutional,26_34,11882,2018
MD,institutional,35_44,9462,2018
MD,institutional,45_54,6367,2018
MD,institutional,55_64,7013,2018
MD,institutional,65p,22896,2018
MD,institutional,u18,1693,2018
MD,other_noninstitutional,18_25,1606,2018
MD,other_noninstitutional,26_34,1873,2018
MD,other_noninstitutional,35_44,2554,2018
MD,other_noninstitutional,45_54,4159,2018
MD,other_noninstitutional,55_64,2243,2018
MD,other_noninstitutional,65p,4489,2018
MD,other_noninstitutional,u18,1356,2018
ME,dorm_student,18_25,15130,2018
ME,institutional,18_25,786,2018
ME,institutional,26_34,1446,2018
ME,institutional,35_44,480,2018
ME,institutional,45_54,1099,2018
ME,institutional,55_64,790,2018
ME,institutional,65p,8469,2018
ME,institutional,u18,466,2018
ME,other_noninstitutional,18_25,677,2018
ME,other_noninstitutional,26_34,2364,2018
ME,other_noninstitutional,35_44,600,2018
ME,other_noninstitutional,45_54,842,2018
ME,other_noninstitutional,55_64,972,2018
ME,other_noninstitutional,65p,1218,2018
ME,other_noninstitutional,u18,497,2018
MI,dorm_student,18_25,80253,2018
MI,institutional,18_25,8513,2018
MI,institutional,26_34,15316,2018
MI,institutional,35_44,13678,2018
MI,institutional,45_54,12983,2018
MI,institutional,55_64,9583,2018
MI,institutional,65p,39798,2018
MI,institutional,u18,3596,2018
MI,other_noninstitutional,18_25,2289,2018
MI,other_noninstitutional,26_34,4968,2018
MI,other_noninstitutional,35_44,5404,2018
MI,other_noninstitutional,45_54,6650,2018
MI,other_noninstitutional,55_64,8883,2018
MI,other_noninstitutional,65p,10728,2018
MI,other_noninstitutional,u18,3627,2018
MN,dorm_student,18_25,46741,2018
MN,institutional,18_25,2950,2018
MN,institutional,26_34,7288,2018
