state,persons,year
AK,1621,2017
AL,37614,2017
AR,26649,2017
AZ,34969,2017
CA,180219,2017
CO,34811,2017
CT,48815,2017
DC,23778,2017
DE,9313,2017
FL,87271,2017
GA,79800,2017
HI,5416,2017
IA,39599,2017
ID,6945,2017
IL,84402,2017
IN,67477,2017
KS,24975,2017
KY,39525,2017
LA,22739,2017
MA,132785,2017
MD,47304,2017
ME,15616,2017
MI,65085,2017
MN,43852,2017
MO,52320,2017
MS,29088,2017
MT,6256,2017
NC,90754,2017
ND,8929,2017
NE,21717,2017
NH,20962,2017
NJ,54926,2017
NM,7694,2017
NV,3954,2017
NY,200927,2017
OH,109054,2017
OK,28253,2017
OR,19758,2017
PA,159045,2017
RI,23145,2017
SC,42384,2017
SD,9312,2017
TN,50970,2017
TX,128605,2017
UT,13216,2017
VA,83852,2017
VT,15542,2017
WA,31129,2017
WI,53433,2017
WV,14175,2017
WY,2937,2017
