state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
AK,259830,221880,173680,286963,266208,178374,27133,0.905447740649491,44328,0.833483591777858,4694,0.97368450558938
AL,1554490,1329000,1245740,1910044,1906950,1086191,355554,0.813850361562352,577950,0.696924408086211,-159549,1.14688853065437
AR,1006410,770440,766270,1182187,1137037,698580,175777,0.851312017472701,366597,0.677585689823638,-67690,1.09689656159638
AZ,2351820,2085930,1845400,2784118,2856110,1638489,432298,0.844727127226648,770180,0.730339517735661,-206911,1.12628159236956
CA,12898830,12033440,10564450,14959344,15673015,8879864,2060514,0.86225906697513,3639575,0.767780800311874,-1684586,1.18970853607668
CO,2139620,1771330,1298930,2397923,2107241,1253572,258303,0.892280527773411,335911,0.840592034798108,-45358,1.03618300344934
CT,1264080,1142270,783680,1395749,1442114,727424,131669,0.905664270581602,299844,0.792080237762063,-56256,1.07733591412986
DC,128730,281470,129610,173822,404245,127682,45092,0.740585196350289,122775,0.696285668344692,-1928,1.01510001409752
DE,344030,307000,228320,386242,383569,203953,42212,0.89071100501758,76569,0.800377507045669,-24367,1.11947360421274
FL,7070570,6964010,4942960,8247866,8999329,4230542,1177296,0.857260532603221,2035319,0.773836582705222,-712418,1.16839875363488
GA,3230770,3073670,2860370,3946275,4169136,2502012,715505,0.818688510050617,1095466,0.737243879787083,-358358,1.14322793016181
HI,518460,446060,329200,566297,549666,299909,47837,0.915526658272956,103606,0.81151099031048,-29291,1.09766629210861
IA,1227970,863020,743460,1310771,1123278,721021,82801,0.93683030826895,260258,0.76830490760079,-22439,1.03112114626342
ID,739250,449530,482550,770428,567222,449415,31178,0.959531585041042,117692,0.792511573951645,-33135,1.07372918126898
IL,4324120,3952040,3125420,4868412,4988153,2815256,544292,0.888199273192162,1036113,0.792285240649194,-310164,1.11017257400393
IN,2431760,1964570,1643480,2581841,2580342,1570036,150081,0.941870548960993,615772,0.761360315803099,-73444,1.04677854520533
KS,1108990,798090,716940,1205188,1007725,700401,96198,0.920180088085842,209635,0.791972016175048,-16539,1.02361361562876
KY,1535680,1175550,1045890,1776266,1691210,1000197,240586,0.864555196124905,515660,0.695094045091976,-45693,1.04568400025195
LA,1310060,1376780,1261500,1599442,1964149,1085203,289382,0.819073151761677,587369,0.700954968283974,-176297,1.1624553194195
MA,2402510,2248360,1376250,2681768,2860506,1350229,279258,0.895867949800281,612146,0.786000798460133,-26021,1.01927154578964
MD,2028700,1981250,1530090,2301634,2412837,1331209,272934,0.881417288760941,431587,0.821128820554393,-198881,1.14939877960561
ME,523920,408740,251410,565839,532025,246348,41919,0.92591708949012,123285,0.768272167661294,-5062,1.02054816763278
MI,3577600,3016200,2239670,3869407,3977681,2139769,291807,0.92458611875153,961481,0.758281018513048,-99901,1.04668774993936
MN,2195540,1721970,1317650,2325952,2008870,1304810,130412,0.943931775032331,286900,0.857183391657997,-12840,1.00984051317816
MO,2186650,1745110,1426900,2465559,2302511,1369358,278909,0.886877985884743,557401,0.75791603167151,-57542,1.04202115151772
MS,825810,853430,834070,1049904,1227900,698345,224094,0.786557628126,374470,0.695032168743383,-135725,1.19435236165506
MT,422610,313230,226360,445552,395784,227442,22942,0.948508816030452,82554,0.79141653022861,1082,0.995242743204861
NC,3569160,2952310,2544400,4122350,4072334,2293400,553190,0.865807124577001,1120024,0.724967549321839,-251000,1.10944449289265
ND,292650,222410,176320,320529,264322,177211,27879,0.91302191065395,41912,0.8414358244868,891,0.994972095411684
NE,750390,548520,493390,811670,648748,473990,61280,0.924501336750157,100228,0.845505496741416,-19400,1.04092913352602
NH,563550,433270,255500,583412,519537,256762,19862,0.96595544829383,86267,0.833954078342832,1262,0.995084942475911
