state,age_band,income_tier,n_units,n_adults,year
AK,18_25,neg_zero,11424,11424,2018
AK,18_25,1_10k,18265,18265,2018
AK,18_25,10_25k,5384,5797,2018
AK,26_34,neg_zero,1567,1567,2018
AK,26_34,1_10k,11998,12513,2018
AK,26_34,10_25k,3731,4085,2018
AK,35_44,neg_zero,1505,1505,2018
AK,35_44,1_10k,5138,5218,2018
AK,35_44,10_25k,1440,1692,2018
AK,45_54,neg_zero,781,781,2018
AK,45_54,1_10k,5007,5438,2018
AK,45_54,10_25k,2491,3395,2018
AK,55_64,neg_zero,1540,1540,2018
AK,55_64,1_10k,6538,7280,2018
AK,55_64,10_25k,2893,5395,2018
AK,65_74,neg_zero,357,399,2018
AK,65_74,1_10k,2342,2439,2018
AK,65_74,10_25k,2096,3249,2018
AK,75p,neg_zero,246,246,2018
AK,75p,1_10k,1203,1276,2018
AK,75p,10_25k,1045,1876,2018
AL,18_25,neg_zero,145998,146876,2018
AL,18_25,1_10k,127807,128514,2018
AL,18_25,10_25k,21447,24433,2018
AL,26_34,neg_zero,38761,38817,2018
AL,26_34,1_10k,60112,61573,2018
AL,26_34,10_25k,33528,43786,2018
AL,35_44,neg_zero,33146,34497,2018
AL,35_44,1_10k,40115,42316,2018
AL,35_44,10_25k,24732,29704,2018
AL,45_54,neg_zero,26013,27355,2018
AL,45_54,1_10k,47308,50562,2018
AL,45_54,10_25k,22229,29487,2018
AL,55_64,neg_zero,21823,22329,2018
AL,55_64,1_10k,56277,58909,2018
AL,55_64,10_25k,26377,36563,2018
AL,65_74,neg_zero,6628,7737,2018
AL,65_74,1_10k,34966,38141,2018
AL,65_74,10_25k,21520,33867,2018
AL,75p,neg_zero,4825,5053,2018
AL,75p,1_10k,26058,26677,2018
AL,75p,10_25k,19677,30246,2018
AR,18_25,neg_zero,78899,78899,2018
AR,18_25,1_10k,68616,69436,2018
AR,18_25,10_25k,17915,20850,2018
AR,26_34,neg_zero,17089,17151,2018
AR,26_34,1_10k,32191,33067,2018
AR,26_34,10_25k,18402,23063,2018
AR,35_44,neg_zero,16597,16609,2018
AR,35_44,1_10k,25303,26335,2018
AR,35_44,10_25k,16444,20063,2018
AR,45_54,neg_zero,11250,11385,2018
AR,45_54,1_10k,25364,27360,2018
AR,45_54,10_25k,14492,21554,2018
AR,55_64,neg_zero,12608,13920,2018
AR,55_64,1_10k,34007,36122,2018
AR,55_64,10_25k,17175,24980,2018
AR,65_74,neg_zero,3538,4056,2018
AR,65_74,1_10k,18182,20163,2018
AR,65_74,10_25k,16212,26370,2018
AR,75p,neg_zero,2867,3199,2018
AR,75p,1_10k,15782,16274,2018
AR,75p,10_25k,13218,20092,2018
AZ,18_25,neg_zero,164720,164804,2018
AZ,18_25,1_10k,162083,163997,2018
AZ,18_25,10_25k,40031,43916,2018
AZ,26_34,neg_zero,50663,50874,2018
AZ,26_34,1_10k,70274,73023,2018
AZ,26_34,10_25k,37676,48188,2018
AZ,35_44,neg_zero,33759,34977,2018
AZ,35_44,1_10k,46341,49993,2018
AZ,35_44,10_25k,31726,44999,2018
AZ,45_54,neg_zero,32214,33555,2018
AZ,45_54,1_10k,44367,48524,2018
AZ,45_54,10_25k,24739,37064,2018
AZ,55_64,neg_zero,35161,38371,2018
AZ,55_64,1_10k,56053,61880,2018
AZ,55_64,10_25k,28394,43646,2018
AZ,65_74,neg_zero,14549,17142,2018
AZ,65_74,1_10k,34767,38986,2018
AZ,65_74,10_25k,28042,45889,2018
