state,age_band,income_tier,n_units,year
AK,18_25,neg_zero,9762,2022
AK,18_25,1_10k,14675,2022
AK,18_25,10_25k,5041,2022
AK,26_34,neg_zero,2888,2022
AK,26_34,1_10k,5802,2022
AK,26_34,10_25k,3977,2022
AK,35_44,neg_zero,2214,2022
AK,35_44,1_10k,5431,2022
AK,35_44,10_25k,1984,2022
AK,45_54,neg_zero,649,2022
AK,45_54,1_10k,3527,2022
AK,45_54,10_25k,774,2022
AK,45_54,25_50k,137,2022
AK,55_64,neg_zero,2181,2022
AK,55_64,1_10k,4267,2022
AK,55_64,10_25k,3316,2022
AK,55_64,25_50k,21,2022
AK,65_74,neg_zero,270,2022
AK,65_74,1_10k,2922,2022
AK,65_74,10_25k,1629,2022
AK,65_74,25_50k,47,2022
AK,75p,neg_zero,318,2022
AK,75p,1_10k,1079,2022
AK,75p,10_25k,1590,2022
AK,75p,25_50k,541,2022
AL,18_25,neg_zero,126517,2022
AL,18_25,1_10k,113555,2022
AL,18_25,10_25k,43719,2022
AL,18_25,25_50k,718,2022
AL,26_34,neg_zero,35367,2022
AL,26_34,1_10k,45823,2022
AL,26_34,10_25k,37875,2022
AL,26_34,25_50k,619,2022
AL,35_44,neg_zero,25101,2022
AL,35_44,1_10k,30421,2022
AL,35_44,10_25k,33410,2022
AL,35_44,25_50k,1868,2022
AL,45_54,neg_zero,24139,2022
AL,45_54,1_10k,30338,2022
AL,45_54,10_25k,27257,2022
AL,45_54,25_50k,452,2022
AL,55_64,neg_zero,19946,2022
AL,55_64,1_10k,40046,2022
AL,55_64,10_25k,38509,2022
AL,55_64,25_50k,1131,2022
AL,65_74,neg_zero,6149,2022
AL,65_74,1_10k,30715,2022
AL,65_74,10_25k,34941,2022
AL,65_74,25_50k,1121,2022
AL,75p,neg_zero,5960,2022
AL,75p,1_10k,27098,2022
AL,75p,10_25k,25831,2022
AL,75p,25_50k,1163,2022
AR,18_25,neg_zero,83449,2022
AR,18_25,1_10k,51574,2022
AR,18_25,10_25k,20323,2022
AR,18_25,25_50k,19,2022
AR,26_34,neg_zero,21315,2022
AR,26_34,1_10k,16879,2022
AR,26_34,10_25k,20916,2022
AR,26_34,25_50k,558,2022
AR,35_44,neg_zero,15042,2022
AR,35_44,1_10k,23129,2022
AR,35_44,10_25k,21511,2022
AR,35_44,25_50k,1415,2022
AR,45_54,neg_zero,14175,2022
AR,45_54,1_10k,19104,2022
AR,45_54,10_25k,14516,2022
AR,45_54,25_50k,685,2022
AR,55_64,neg_zero,11852,2022
AR,55_64,1_10k,23313,2022
AR,55_64,10_25k,23447,2022
AR,55_64,25_50k,660,2022
AR,65_74,neg_zero,3395,2022
AR,65_74,1_10k,18549,2022
AR,65_74,10_25k,21559,2022
AR,65_74,25_50k,766,2022
AR,75p,neg_zero,2858,2022
AR,75p,1_10k,17063,2022
AR,75p,10_25k,14448,2022
AR,75p,25_50k,804,2022
AZ,18_25,neg_zero,172349,2022
AZ,18_25,1_10k,127976,2022
AZ,18_25,10_25k,51101,2022
AZ,18_25,25_50k,114,2022
AZ,26_34,neg_zero,58264,2022
AZ,26_34,1_10k,46885,2022
AZ,26_34,10_25k,39319,2022
AZ,26_34,25_50k,1168,2022
AZ,35_44,neg_zero,42208,2022
AZ,35_44,1_10k,32056,2022
AZ,35_44,10_25k,29381,2022
AZ,35_44,25_50k,1181,2022
AZ,45_54,neg_zero,31648,2022
AZ,45_54,1_10k,27808,2022
AZ,45_54,10_25k,24556,2022
AZ,45_54,25_50k,1412,2022
AZ,55_64,neg_zero,34323,2022
AZ,55_64,1_10k,44386,2022
AZ,55_64,10_25k,30174,2022
AZ,55_64,25_50k,1181,2022
AZ,65_74,neg_zero,15069,2022
AZ,65_74,1_10k,39535,2022
AZ,65_74,10_25k,37582,2022
AZ,65_74,25_50k,1316,2022
AZ,75p,neg_zero,12381,2022
AZ,75p,1_10k,31025,2022
AZ,75p,10_25k,31957,2022
AZ,75p,25_50k,1682,2022
CA,18_25,neg_zero,977054,2022
CA,18_25,1_10k,716498,2022
