state,pep_adults_18p,fa_ht2,residual_A,tolerance_pct,share_ht2,fa_B1,fa_B2,residual_B1,residual_B2,diff_B1_pct,diff_B2_pct,B1_within_tol,B2_within_tol,year
AK,557088,469750,87338,4.17175669277498,0.00220456919080883,471945.686981539,469280.825789381,85142.3130184609,87807.1742106187,-2.51401106223995,0.537193673565595,TRUE,TRUE,2022
AL,3946485,2902560,1043925,2.34640347638347,0.013621914530014,2916127.03183637,2899660.99777164,1030357.96816363,1046824.00222836,-1.29961748558305,0.277702155649395,TRUE,TRUE,2022
AR,2340429,1782010,558419,2.63388842727462,0.00836309599513197,1790339.40108137,1780230.17427341,550089.598918633,560198.825726588,-1.49160416844115,0.318725853989266,TRUE,TRUE,2022
AZ,5780637,4526520,1254117,2.92716408925058,0.0212432709602554,4547677.68182156,4521999.02831751,1232959.31817844,1258637.97168249,-1.6870580513267,0.360490423340876,TRUE,TRUE,2022
CA,30532802,24629780,5903022,3.32275030546915,0.115589258465992,24744903.5493436,24605180.4096025,5787898.45065637,5927621.59039747,-1.95024767557421,0.416728760243035,TRUE,TRUE,2022
CO,4621847,4015820,606027,5.05156316899208,0.0188465205914506,4034590.58795999,4011809.10233425,587256.412040013,610037.897665752,-3.09731875972318,0.661834813589435,TRUE,TRUE,2022
CT,2888218,2432480,455738,4.14281628535709,0.0114157966264155,2443849.80238181,2430050.50157776,444368.197618192,458167.498422237,-2.49481113749741,0.533091035252076,TRUE,TRUE,2022
DC,549983,406910,143073,2.39090167051594,0.00190965673109531,408811.962724126,406503.588764145,141171.037275874,143479.411235855,-1.32936523601638,0.284058652474584,TRUE,TRUE,2022
DE,809095,673990,135105,3.89712408158916,0.00316308161556837,677140.337559739,673316.836133656,131954.662440261,135778.163866344,-2.33176977886773,0.498252371373131,TRUE,TRUE,2022
FL,18004510,14690290,3314220,3.50568007447914,0.0689425454774818,14758954.7759618,14675617.716414,3245555.22403825,3328892.28358597,-2.07182311258006,0.442706989456743,TRUE,TRUE,2022
GA,8386668,6503190,1883478,2.81729303950589,0.0305199197785547,6533586.95502177,6496694.78119265,1853081.04497823,1889973.21880735,-1.61387364342811,0.34485238518065,TRUE,TRUE,2022
HI,1143262,930280,212982,3.46022138067843,0.00436586828488694,934628.278201567,929350.860277479,208633.721798433,213911.139722521,-2.0416176961279,0.436252698594863,TRUE,TRUE,2022
IA,2469199,2080280,388919,4.15086529234981,0.00976289770357806,2090003.56298873,2078202.26987362,379195.43701127,390996.730126378,-2.50015118539603,0.534232096240528,TRUE,TRUE,2022
ID,1474824,1250310,224514,4.30594375835934,0.00586779117607278,1256154.14984542,1249061.2225497,218669.850154575,225762.777450301,-2.60302245981301,0.556213621556134,TRUE,TRUE,2022
IL,9863135,8159900,1703235,3.75784673005824,0.0382949742205023,8198040.68376937,8151750.10188137,1665094.31623063,1711384.89811863,-2.23930836140448,0.478495223420894,TRUE,TRUE,2022
IN,5249480,4422930,826550,4.15241278739191,0.0207571159363579,4443603.48551625,4418512.49134354,805876.51448375,830967.50865646,-2.50117784964613,0.534451473771691,TRUE,TRUE,2022
KS,2238021,1891880,346141,4.23313054298625,0.00887872349272466,1900722.95111577,1889990.438945,337298.048884228,348030.561054998,-2.55472513102243,0.545893452378743,TRUE,TRUE,2022
KY,3498104,2715400,782704,2.82886793905432,0.0127435597247947,2728092.21592266,2712687.92836293,770011.784077337,785416.071637071,-1.62158567257398,0.346500290923668,TRUE,TRUE,2022
LA,3514450,2574760,939690,2.31815280142157,0.0120835264922341,2586794.841964,2572188.39597545,927655.158036004,942261.604024551,-1.28072470325284,0.273665147500868,TRUE,TRUE,2022
MA,5665262,4732130,933132,3.95529010484165,0.0222082128896268,4754248.7359999,4727403.67034104,911013.264000105,937858.329658957,-2.37037589536049,0.506501723117125,TRUE,TRUE,2022
MD,4818233,4051760,766473,4.1067365292912,0.0190151894934573,4070698.57729499,4047713.20638719,747534.422705012,770519.793612808,-2.47087337649057,0.527976016481735,TRUE,TRUE,2022
ME,1139657,972110,167547,4.47020007789645,0.0045621793636555,976653.798342999,971139.081550006,163003.201657001,168517.918449994,-2.71195446232956,0.579490202745392,TRUE,TRUE,2022
MI,7913876,6590760,1323116,3.8919150594192,0.0309308918361154,6621566.27127291,6584177.31853033,1292309.72872709,1329698.68146967,-2.32831220187103,0.497513556609586,TRUE,TRUE,2022
MN,4409934,3939780,470154,6.28888802484553,0.0184896596201486,3958195.16478154,3935845.0491293,451738.835218461,474088.9508707,-3.91683677721326,0.83694935504115,TRUE,TRUE,2022
MO,4797555,3940570,856985,3.62225233771601,0.0184933671447058,3958988.85736848,3936634.26009763,838566.14263152,860920.739902369,-2.1492625155026,0.459254234597939,TRUE,TRUE,2022
MS,2255038,1630950,624088,2.22966866490335,0.00765416098296895,1638573.32236837,1629321.04911377,616464.677631632,625716.950886235,-1.22151401218554,0.261013011984623,TRUE,TRUE,2022
MT,885762,761040,124722,4.6816108102068,0.00357161327721799,764597.223247324,760279.892833956,121164.776752676,125482.107166044,-2.85212171655692,0.60944112990835,TRUE,TRUE,2022
NC,8377021,6720300,1656721,3.24119222620135,0.031538832002113,6751711.76204798,6713587.93731214,1625309.23795202,1663433.06268786,-1.89602003282244,0.405141402074216,TRUE,TRUE,2022
ND,596388,508770,87618,4.47349178511202,0.00238769274551955,511148.072731448,508261.853617591,85239.9272685521,88126.1463824088,-2.71413719948854,0.579956609839005,TRUE,TRUE,2022
NE,1488438,1304940,183498,5.39372006369279,0.00612417353880591,1311039.49924362,1303636.65951164,177398.500756382,184801.340488355,-3.32401401847322,0.710275037523656,TRUE,TRUE,2022
NH,1141902,1010760,131142,5.81424684561101,0.00474356648281412,1015484.45465346,1009750.47892469,126417.545346545,132151.521075306,-3.60254888094962,0.769792343647247,TRUE,TRUE,2022
NJ,7268014,6203230,1064784,4.48697452466456,0.0291121867833977,6232224.89378285,6197034.37352094,1035789.10621715,1070979.62647906,-2.72307752397177,0.581866977626988,TRUE,TRUE,2022
NM,1653759,1291910,361849,2.89977186023525,0.00606302284895761,1297948.5949299,1290619.67354031,355810.405070101,363139.326459692,-1.66881625481882,0.356592517788457,TRUE,TRUE,2022
NV,2482917,2025740,457177,3.50460536458332,0.00950693771706031,2035208.634265,2023716.74302199,447708.365735002,459200.256978007,-2.07110905951051,0.442554410656482,TRUE,TRUE,2022
NY,15668987,12598730,3070257,3.2742940870895,0.0591267099549099,12657618.4884405,12586146.7127141,3011368.5115595,3082840.28728589,-1.91803124104922,0.4098447552076,TRUE,TRUE,2022
OH,9181188,7528650,1652538,3.59243788971626,0.0353324743765469,7563840.11983728,7521130.57813566,1617347.88016272,1660057.42186434,-2.12945904041445,0.455022629697033,TRUE,TRUE,2022
OK,3059009,2367260,691749,2.79581476271251,0.0111097146623398,2378324.95362196,2364895.64163528,680684.046378035,694113.358364725,-1.5995619252019,0.341794258426753,TRUE,TRUE,2022
OR,3401409,2767240,634169,3.45718820114945,0.0129868484248512,2780174.52441255,2764476.15190507,621234.475587452,636932.848094928,-2.03960212696421,0.435822011944453,TRUE,TRUE,2022
PA,10329335,8543230,1786105,3.7524527510346,0.0400939683831692,8583162.42978455,8534697.24174266,1746172.57021545,1794637.75825734,-2.23572689089124,0.477729935101068,TRUE,TRUE,2022
