soi_variable,variable,asec_amount,asec_positive_M,soi_amount,asec_over_soi,asec_over_ssa_wages
agi_amt,ADJGINC,11797477386481,159.1403110502,12487811004000,0.944719405402764,
,TAXINC,9033987963886.28,123.566183804,,,
,INCTOT,12767059411831.3,236.0534617832,,,
wages_amt,INCWAGE,9232301463207.04,159.0701896427,8329952728000,1.10832579303529,1.02690689526112
int_amt,INCINT,571820421001.038,143.2193939738,124865094000,4.57950579047366,
div_amt,INCDIVID,213720686958.777,35.4445378285,319326944000,0.66928485357871,
,INCRENT,164233779687.247,10.7702420522,,,
,INCBUS,414426559232.511,11.6407592417,,,
,INCFARM,35948606897.6254,1.6576916367,,,
,INCSS,907456959797.453,54.4130239786,,,
,INCRETIR,155262477925.739,8.9724204324,,,
eitc_amt,EITCRED,40779200345.3015,20.0929638712,58158715000,0.701170931051374,
,FEDTAX,1450093606222.96,114.0829587358,,,
