state,n_wages,wages_amt,qcew_avg_emplvl,qcew_wages,ssa_covered_persons,ht2_wages_per_qcew_wages
AK,290430,16789836000,322136,17303197044,,0.970331433971735
AL,1708300,84006884000,1936819,89088710816,,0.942957679267626
AR,1025860,48569860000,1200542,51573741418,,0.941755604006817
AZ,2441270,132701860000,2747638,137782584614,,0.963125059467902
CA,14852370,1039470012000,17019702,1120858375295,,0.927387469203164
CO,2264040,143020954000,2609770,148532901790,,0.962890728427342
CT,1453010,114531917000,1669616,111257378942,,1.02943209780007
DC,299050,23950089000,763847,70689369355,,0.338807506963647
DE,380760,21257304000,441873,24668830510,,0.861707002745142
FL,7967720,426689761000,8494623,411607220660,,1.03664304118819
GA,3803600,212663356000,4346453,226835537083,,0.937522218673283
HI,558140,31008568000,654185,32494225407,,0.954279340763114
IA,1224030,65158174000,1540435,70973486797,,0.918063588821089
ID,624590,30859324000,706820,29223460392,,1.05597775164394
IL,5104420,316820456000,5934549,344033116006,,0.92090104487056
IN,2614450,135210409000,3018177,139414134578,,0.969847206736071
KS,1107940,60027007000,1371633,61883009214,,0.970007886856606
KY,1611200,77758788000,1874455,84660893346,,0.918473511520935
LA,1651160,81713164000,1907721,88709277525,,0.921134364745239
MA,2903130,218868578000,3543383,247784676330,,0.883301506944322
MD,2467280,169181232000,2653569,158159861804,,1.06968500143012
ME,539290,26730035000,609271,26753956609,,0.999105866494829
MI,3795690,208649278000,4294711,225417449211,,0.92561280739494
MN,2329250,146890599000,2856105,160342021280,,0.916107941183364
MO,2306760,120734981000,2781242,131730999233,,0.91652672266191
MS,1039120,44585255000,1128498,43772163354,,1.01857554170728
MT,405560,18919424000,459431,19316716816,,0.979432694500604
NC,3806090,203715940000,4330606,211852325721,,0.961594069390981
ND,310390,17025713000,414038,20831602133,,0.817302139859374
NE,772990,41089110000,972764,43629692705,,0.941769410979398
NH,594590,38427722000,653487,36032079450,,1.06648638065212
NJ,3696280,279913981000,4006799,256601910659,,1.09084916897591
NM,734940,33047774000,810516,35285935231,,0.93657072665503
NV,1173530,61295253000,1326151,63822733484,,0.960398429430579
NY,7957650,549679189000,9276868,655705360630,,0.838302112509603
OH,4673140,241634521000,5364626,263689018977,,0.916361712510585
OK,1348110,67689882000,1581198,71345267854,,0.948764845042276
OR,1560310,87930454000,1883407,96276547821,,0.913311247547873
PA,5096290,297936375000,5799123,313152367046,,0.951410260156951
RI,451750,25549471000,477362,25223781014,,1.01291202083539
SC,1854410,90321290000,2035341,89914574322,,1.00452335654222
SD,350020,17073565000,422489,17927118960,,0.952387555306321
TN,2528710,131331777000,2930932,143089210313,,0.917831447337775
TX,10576940,625941141000,12014802,670360614864,,0.933737942117898
UT,1151460,64453150000,1430588,66629721895,,0.967333318628734
VA,3350180,220151790000,3838368,216880125573,,1.01508512787124
VT,266840,13648746000,309442,14291898153,,0.954998828978851
WA,2955570,204003481000,3290209,204126405531,,0.999397801912593
WI,2378690,130567061000,2850145,134635668564,,0.969780611576449
WV,624940,28952827000,683807,29690517680,,0.975153997382238
WY,224600,12309340000,269586,12473883938,,0.986808925045491
