state,n_wages,wages_amt,qcew_avg_emplvl,qcew_wages,ssa_covered_persons,ssa_covered_wages,ht2_returns_per_ssa_person,ht2_wages_per_ssa_wages,ht2_wages_per_qcew_wages
AK,282870,19575450000,313959,20506548518,408065,23214279000,0.693198387511793,0.843250397740115,0.954595064245808
AL,1734660,106508044000,2026102,116114501322,2438927,119372533000,0.711238999773261,0.892232419998996,0.917267376489349
AR,1047450,61994539000,1248972,67487194534,1480737,69879131000,0.707384228259306,0.887168144663963,0.918611885233534
AZ,2654140,184704540000,3075427,199080592068,3639208,205614978000,0.729318027438937,0.898302943669794,0.927787777207888
CA,14835030,1351712860000,17903539,1511706499616,19430308,1489992093000,0.763499477208493,0.907194653146391,0.894163556446545
CO,2408070,195749444000,2814975,209525595728,3229107,217985107000,0.745738682552173,0.89799457721669,0.934250745451244
CT,1448590,138808435000,1642536,133435177000,1918211,158689274000,0.755177610805068,0.874718445053823,1.04026867667737
DC,295650,30801127000,748737,85292017491,400636,35947353000,0.737951656865584,0.856839918087988,0.361125553200218
DE,394380,27343086000,459114,31135319406,532418,32781886000,0.740733784357404,0.834091302739568,0.878201557641024
FL,8373340,591359855000,9358228,596787621283,10927189,634060043000,0.766284906392669,0.93265592356527,0.990905028707983
GA,3986250,281020041000,4705337,308887652799,5532385,321370814000,0.720530114950424,0.874441700234795,0.909780751847876
HI,531190,36446083000,619985,38118832863,714572,39984541000,0.743368058082321,0.911504348643142,0.956117495280826
IA,1211810,79969548000,1536997,88188794443,1747048,89775047000,0.693632916783054,0.890777010676475,0.906799423952751
ID,691060,44520381000,820860,44519838601,1044993,52070612000,0.661305865206753,0.855000148644306,1.00001218331012
IL,4948490,388402656000,5918832,430630328650,6634263,428307112000,0.745898979283758,0.906832142446423,0.90193985457926
IN,2632050,170997283000,3113419,180739411695,3688766,189354724000,0.713531300169217,0.903052637862893,0.946098481766445
KS,1100250,74222171000,1390817,78133006997,1552683,81575012000,0.708612124947591,0.909864052487053,0.949946429206927
KY,1613970,96150441000,1920456,107166118478,2252295,108214716000,0.716589079139278,0.888515393784335,0.897209326656154
LA,1591240,95048159000,1865592,105548154684,2219121,109821885000,0.717058691256583,0.86547557438119,0.900519381741577
MA,2903170,280007573000,3595632,322887590960,3841002,308266805000,0.755836628046536,0.908328657054074,0.867198309379093
MD,2468810,207274348000,2641021,194554851079,3253327,235932624000,0.758857010069999,0.878531949019479,1.06537743392394
ME,555450,35590547000,626520,36422150154,729226,37894899000,0.76169801954401,0.93919097132308,0.977167653461319
MI,3761630,251086777000,4300943,274749172054,5094402,280034805000,0.738384995922976,0.896627035342982,0.913876373577026
MN,2338380,180502189000,2853966,198988960543,3184841,197402791000,0.734221896791708,0.914385192253943,0.907096496747591
MO,2289020,150175667000,2821194,167083291230,3204379,167935989000,0.714341218688551,0.894243502504993,0.898807211029105
MS,1015900,53837904000,1145453,54325141193,1403500,60401842000,0.723833273957962,0.891328843911747,0.991031092008229
MT,427580,25856674000,496227,27051529275,651378,30344110000,0.656423766230975,0.852115089221599,0.9558303982428
NC,3973730,278606502000,4699554,297095798677,5494327,307358560000,0.723242355251153,0.906454344398282,0.937766549512532
ND,306610,20537734000,411307,24766720598,431776,22512306000,0.710113577410509,0.91228921639569,0.829247211746657
NE,780900,52229254000,983968,56358007154,1113580,59667565000,0.701251818459383,0.87533744673509,0.926740611272538
NH,593670,50060385000,670645,48453603975,808396,54231484000,0.734380180010787,0.923087131453014,1.03316122833358
NJ,3743460,352126964000,4134620,324843276310,4857094,376878310000,0.770720105478708,0.934325363537106,1.08399031065049
NM,758420,42223992000,832863,46025577845,973759,46286387000,0.778858013122343,0.912233482384356,0.917402756836588
NV,1244830,83756302000,1471888,91213249325,1636534,94577270000,0.76065025230151,0.88558595527234,0.918247103571211
NY,7729510,661607246000,9264611,829668258576,9940709,727390177000,0.777561238338231,0.909563074839269,0.79743588978027
OH,4604050,297656948000,5392612,328918883214,6215106,330687496000,0.740783825730406,0.900115521755319,0.904955486567001
OK,1376320,82755610000,1624905,87732268805,1973264,91875667000,0.697483965652847,0.900734794121277,0.943274477307073
OR,1593520,114369672000,1950774,129359343576,2146463,127630569000,0.742393416518244,0.896099366288965,0.884123781385815
PA,5018730,366367410000,5863233,394481735744,6723101,403365982000,0.746490347237086,0.908275428144558,0.92873098245987
RI,463540,32553968000,481342,31046233006,591847,35439663000,0.783209173992603,0.918574423238731,1.04856418470185
SC,1977320,122613379000,2181593,121189348601,2667077,136412130000,0.741380920010933,0.898845132027482,1.01175045839786
SD,357190,22396548000,443127,23953214625,559487,26148406000,0.63842412781709,0.856516760524523,0.935012204024786
TN,2619250,175112203000,3157887,196114305833,3583849,192901315000,0.730848314200738,0.907781281843517,0.892908868918088
