state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
AK,554447,260020,214660,174100,8660,474680,79767,0.00229101200102629,470651.635704188,83795.3642958126,0.151133226973566,1144,82651.3642958126,74537,87253,0.854262890674246
AL,3868180,1557000,1261740,1261190,44060,2818740,1049440,0.0136044644134424,2794818.80767005,1073361.19232995,0.277484809995901,37992,1035369.19232995,762451,838491,0.909313278258204
AR,2294373,1000360,723610,771000,25960,1723970,570403,0.00832062854851542,1709339.55592177,585033.444078225,0.254986196262868,25637,559396.444078226,468661,505970,0.926262426626085
AZ,5355683,2291150,1926360,1848570,44550,4217510,1138173,0.0203555364128432,4181718.16823706,1173964.83176294,0.219199835345546,38141,1135823.83176294,1049491,1239047,0.847014681444691
CA,30648985,12944120,11562010,10904240,282900,24506130,6142855,0.118277235039838,24298159.1162035,6350825.88379654,0.207211621650653,189431,6161394.88379654,4682586,5696809,0.821966472809603
CO,4402440,2120780,1677490,1324680,55060,3798270,604170,0.0183321019489722,3766036.04185166,636403.958148344,0.144557099732954,35045,601358.958148344,687325,806938,0.851769280911297
CT,2862422,1273680,1113720,796010,36280,2387400,475022,0.0115226300902717,2367139.36774285,495282.632257148,0.17302921520906,47083,448199.632257148,538190,617634,0.87137366142408
DC,570897,130370,279400,131690,10850,409770,161127,0.00197772812770823,406292.493390294,164604.506609706,0.288326101923299,20187,144417.506609706,60973,83591,0.729420631407687
DE,765544,339890,294160,230690,11510,634050,131494,0.00306020089165484,628669.144725373,136874.855274627,0.178794236875512,8759,128115.855274627,163644,180528,0.906474341930338
FL,16944434,6981320,6616410,4972730,243960,13597730,3346704,0.0656285552724262,13482333.0798936,3462100.92010639,0.204320835981089,92226,3369874.92010639,3588191,4305644,0.83336917775831
GA,8031715,3228300,2909950,2907390,113820,6138250,1893465,0.0296258625080046,6086157.83867285,1945557.16132715,0.242234337414506,83660,1861897.16132715,1299615,1472768,0.882430226620894
HI,1154817,515720,428410,331340,17200,944130,210687,0.00455678174881806,936117.655720474,218699.344279526,0.189380087303466,7785,210914.344279526,222584,268529,0.828901161513282
IA,2430052,1229860,832830,745880,22380,2062690,367362,0.00995543849413694,2045185.01401085,384866.98598915,0.158378086555,40742,344124.98598915,504073,546735,0.921969509908822
ID,1314102,718050,419930,477790,8890,1137980,176122,0.00549238610627771,1128322.5507682,185779.449231796,0.14137369034656,7981,177798.449231796,261270,282653,0.92434893668208
IL,10009915,4381880,3870310,3252090,110560,8252190,1757725,0.0398286557781014,8182157.92037107,1827757.07962893,0.182594665352196,82646,1745111.07962893,1713948,1998340,0.857685879279802
IN,5132635,2437650,1899470,1667370,64150,4337120,795515,0.0209328262616735,4300313.09986801,832321.900131994,0.162162690339756,68949,763372.900131994,981752,1059150,0.926924420525893
KS,2216201,1111080,766400,725840,26260,1877480,338721,0.00906153453207813,1861546.79574007,354654.204259927,0.160027995772914,25741,328913.204259927,419144,464137,0.903060949676496
KY,3463427,1543940,1128410,1056320,42180,2672350,791077,0.0128979226446082,2649671.14408462,813755.855915384,0.234956837812775,39780,773975.855915384,658874,729119,0.903657701966346
LA,3568745,1309730,1292410,1270270,30890,2602140,966605,0.0125590586676299,2580056.98013671,988688.019863288,0.277040814029382,22215,966473.019863288,620043,721057,0.859908439970765
MA,5610757,2436290,2235350,1422420,70050,4671640,939117,0.0225473651817529,4631994.20119051,978762.798809492,0.174443983015036,133037,845725.798809492,960157,1167638,0.822307084901314
MD,4775707,2047820,1932190,1562050,96620,3980010,795697,0.0192092581827856,3946233.70822243,829473.29177757,0.173685967706472,48506,780967.29177757,770494,934154,0.824804047298411
ME,1097091,524290,397920,254530,12850,922210,174881,0.00445098630122705,914383.679453018,182707.320546982,0.166537981395328,14607,168100.320546982,251573,280357,0.897330903098549
MI,7880775,3600310,2944380,2282270,83410,6544690,1336085,0.0315875186083188,6489148.59205536,1391626.40794464,0.176584968857078,62929,1328697.40794464,1592758,1713543,0.929511544209862
MN,4334501,2198060,1676020,1332940,42000,3874080,460421,0.0186979939600066,3841202.68148833,493298.318511674,0.113807406783774,41419,451879.318511674,809205,893373,0.905786272922956
MO,4743888,2191960,1684400,1437520,58960,3876360,867528,0.0187089982310152,3843463.33230447,900424.667695534,0.189807320007457,52022,848402.667695534,929485,1026036,0.905899013289982
MS,2276392,820980,804770,839790,24960,1625750,650642,0.00784657613691012,1611953.09839488,664438.901605118,0.291882462073807,30079,634359.901605118,441394,482490,0.914825177723891
MT,833726,416580,298450,224420,9400,715030,118696,0.00345104556984459,708961.909238993,124764.090761007,0.149646395531634,7907,116857.090761007,180677,200918,0.899257408495008
NC,7987514,3559640,2805000,2585040,107600,6364640,1622874,0.0307185190490688,6310626.58352638,1676887.41647363,0.209938588711535,99343,1577544.41647363,1532383,1677849,0.913302090950974
ND,591601,292130,214880,175340,5650,507010,84591,0.00244705063335371,502707.267671653,88893.7323283474,0.150259604578673,8807,80086.7323283474,105788,117299,0.901866171067102
