United States life table functions and actuarial functions at 2.3 percent interest
based on the Alternative 2 mortality probabilities used in the 2024 Trustees Report.
Males
,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2022,0,0.005950,100000,595,99481,7477915,74.78,100000,19937,0.1994,3561043,35.6104,421.83
2022,1,0.000517,99405,51,99379,7378434,74.23,97170,19356,0.1992,3461043,35.6184,421.92
2022,2,0.000312,99354,31,99338,7279055,73.26,94936,19307,0.2034,3363873,35.4329,419.70
2022,3,0.000250,99323,25,99310,7179717,72.29,92773,19278,0.2078,3268937,35.2359,417.33
2022,4,0.000201,99298,20,99288,7080407,71.30,90664,19255,0.2124,3176164,35.0321,414.88
2022,5,0.000169,99278,17,99269,6981119,70.32,88608,19237,0.2171,3085499,34.8218,412.36
2022,6,0.000145,99261,14,99254,6881849,69.33,86601,19223,0.2220,2996891,34.6056,409.77
2022,7,0.000128,99247,13,99240,6782595,68.34,84642,19210,0.2270,2910290,34.3835,407.10
2022,8,0.000123,99234,12,99228,6683355,67.35,82729,19200,0.2321,2825648,34.1557,404.37
2022,9,0.000122,99222,12,99216,6584127,66.36,80859,19190,0.2373,2742919,33.9224,401.57
2022,10,0.000129,99210,13,99203,6484912,65.37,79031,19180,0.2427,2662061,33.6837,398.70
2022,11,0.000144,99197,14,99190,6385708,64.37,77244,19170,0.2482,2583030,33.4398,395.78
2022,12,0.000172,99183,17,99174,6286518,63.38,75497,19159,0.2538,2505785,33.1907,392.79
2022,13,0.000229,99166,23,99154,6187344,62.39,73787,19147,0.2595,2430289,32.9367,389.74
2022,14,0.000324,99143,32,99127,6088190,61.41,72111,19130,0.2653,2356502,32.6788,386.65
2022,15,0.000456,99111,45,99088,5989064,60.43,70467,19107,0.2712,2284391,32.4179,383.51
2022,16,0.000630,99065,62,99034,5889975,59.46,68851,19076,0.2771,2213924,32.1552,380.36
2022,17,0.000834,99003,83,98962,5790941,58.49,67261,19033,0.2830,2145073,31.8918,377.20
2022,18,0.001030,98920,102,98870,5691979,57.54,65694,18979,0.2889,2077812,31.6287,374.04
2022,19,0.001169,98819,115,98761,5593110,56.60,64151,18912,0.2948,2012118,31.3655,370.89
2022,20,0.001256,98703,124,98641,5494349,55.67,62635,18839,0.3008,1947967,31.1002,367.70
2022,21,0.001326,98579,131,98514,5395708,54.73,61150,18762,0.3068,1885332,30.8312,364.47
2022,22,0.001412,98448,139,98379,5297194,53.81,59696,18683,0.3130,1824182,30.5579,361.19
2022,23,0.001512,98309,149,98235,5198815,52.88,58271,18601,0.3192,1764486,30.2805,357.87
2022,24,0.001624,98161,159,98081,5100580,51.96,56875,18515,0.3255,1706214,29.9993,354.49
2022,25,0.001740,98001,171,97916,5002499,51.05,55506,18424,0.3319,1649339,29.7145,351.07
2022,26,0.001858,97831,182,97740,4904583,50.13,54164,18330,0.3384,1593833,29.4262,347.61
2022,27,0.001969,97649,192,97553,4806843,49.23,52848,18231,0.3450,1539669,29.1341,344.11
2022,28,0.002083,97457,203,97355,4709290,48.32,51558,18130,0.3516,1486822,28.8380,340.56
2022,29,0.002210,97254,215,97146,4611935,47.42,50294,18025,0.3584,1435264,28.5377,336.95
2022,30,0.002323,97039,225,96926,4514789,46.53,49054,17916,0.3652,1384970,28.2335,333.30
2022,31,0.002437,96813,236,96695,4417862,45.63,47840,17805,0.3722,1335916,27.9247,329.60
