cbo_row,cbo_line,year,value
12,Salaries and wages,2022,9739.0
12,Salaries and wages,2023,10260.3
12,Salaries and wages,2024,10832.7
12,Salaries and wages,2025,11367.3
12,Salaries and wages,2026,11843.5
12,Salaries and wages,2027,12350.9
12,Salaries and wages,2028,12861.9
12,Salaries and wages,2029,13377.8
12,Salaries and wages,2030,13905.4
12,Salaries and wages,2031,14443.0
12,Salaries and wages,2032,14985.2
12,Salaries and wages,2033,15538.3
12,Salaries and wages,2034,16113.0
12,Salaries and wages,2035,16708.7
12,Salaries and wages,2036,17325.9
13,Taxable interest and ordinary dividends (excludes qualified dividends),2022,232.7
13,Taxable interest and ordinary dividends (excludes qualified dividends),2023,286.8
13,Taxable interest and ordinary dividends (excludes qualified dividends),2024,309.7
13,Taxable interest and ordinary dividends (excludes qualified dividends),2025,323.9
13,Taxable interest and ordinary dividends (excludes qualified dividends),2026,356.5
13,Taxable interest and ordinary dividends (excludes qualified dividends),2027,381.7
13,Taxable interest and ordinary dividends (excludes qualified dividends),2028,415.7
13,Taxable interest and ordinary dividends (excludes qualified dividends),2029,448.3
13,Taxable interest and ordinary dividends (excludes qualified dividends),2030,462.5
13,Taxable interest and ordinary dividends (excludes qualified dividends),2031,476.4
13,Taxable interest and ordinary dividends (excludes qualified dividends),2032,492.2
13,Taxable interest and ordinary dividends (excludes qualified dividends),2033,504.5
13,Taxable interest and ordinary dividends (excludes qualified dividends),2034,517.8
13,Taxable interest and ordinary dividends (excludes qualified dividends),2035,527.4
13,Taxable interest and ordinary dividends (excludes qualified dividends),2036,535.1
14,Qualified dividends,2022,313.2
14,Qualified dividends,2023,342.9
14,Qualified dividends,2024,354.3
14,Qualified dividends,2025,364.3
14,Qualified dividends,2026,387.7
14,Qualified dividends,2027,388.1
14,Qualified dividends,2028,387.9
14,Qualified dividends,2029,387.2
14,Qualified dividends,2030,405.2
14,Qualified dividends,2031,428.8
14,Qualified dividends,2032,455.3
14,Qualified dividends,2033,483.2
14,Qualified dividends,2034,511.3
14,Qualified dividends,2035,539.8
14,Qualified dividends,2036,567.2
15,Capital gain or lossa,2022,1286.0
15,Capital gain or lossa,2023,981.4
15,Capital gain or lossa,2024,1290.9
15,Capital gain or lossa,2025,1639.5
15,Capital gain or lossa,2026,1703.5
15,Capital gain or lossa,2027,1644.2
15,Capital gain or lossa,2028,1558.8
15,Capital gain or lossa,2029,1532.8
15,Capital gain or lossa,2030,1542.2
15,Capital gain or lossa,2031,1572.9
15,Capital gain or lossa,2032,1615.5
15,Capital gain or lossa,2033,1666.3
15,Capital gain or lossa,2034,1724.1
15,Capital gain or lossa,2035,1786.6
15,Capital gain or lossa,2036,1851.5
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2022,1557.2
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2023,1701.1
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2024,1916.0
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2025,1805.6
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2026,1919.9
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2027,2025.2
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2028,2068.7
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2029,2207.1
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2030,2307.9
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2031,2408.8
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2032,2509.8
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2033,2610.2
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2034,2715.0
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2035,2825.2
16,"Net business income (all income and loss reported on Schedules C, E, and F)b",2036,2935.0
